year,value,monthID,districtID,unitID
2013,17935,0,21,11
2014,15658,0,21,11
2015,15742,0,21,11
2016,18059,0,21,11
2017,19017,0,21,11
2018,19154,0,21,11
2019,19850,0,21,11
2020,20490,0,21,11
2021,20395,0,21,11
2022,21020,0,21,11
2023,21293,0,21,11
2013,81146,0,5,11
2014,71071,0,5,11
2015,71394,0,5,11
2016,81345,0,5,11
2017,84683,0,5,11
2018,85984,0,5,11
2019,89380,0,5,11
2020,90644,0,5,11
2021,89645,0,5,11
2022,92981,0,5,11
2023,92606,0,5,11
2013,32985,0,17,11
2014,29107,0,17,11
2015,29316,0,17,11
2016,32966,0,17,11
2017,33950,0,17,11
2018,34434,0,17,11
2019,35371,0,17,11
2020,35705,0,17,11
2021,35353,0,17,11
2022,36024,0,17,11
2023,35957,0,17,11
2013,52057,0,3,11
2014,46215,0,3,11
2015,46099,0,3,11
2016,52434,0,3,11
2017,55307,0,3,11
2018,55329,0,3,11
2019,57479,0,3,11
2020,58291,0,3,11
2021,58270,0,3,11
2022,59252,0,3,11
2023,59249,0,3,11
2013,43519,0,8,11
2014,38440,0,8,11
2015,38235,0,8,11
2016,43235,0,8,11
2017,45186,0,8,11
2018,45141,0,8,11
2019,45965,0,8,11
2020,46267,0,8,11
2021,46084,0,8,11
2022,46739,0,8,11
2023,46719,0,8,11
2013,57253,0,9,11
2014,50584,0,9,11
2015,50109,0,9,11
2016,57253,0,9,11
2017,62105,0,9,11
2018,62319,0,9,11
2019,65163,0,9,11
2020,66296,0,9,11
2021,66329,0,9,11
2022,68339,0,9,11
2023,67638,0,9,11
2013,85299,0,14,11
2014,74821,0,14,11
2015,75092,0,14,11
2016,86509,0,14,11
2017,91635,0,14,11
2018,93515,0,14,11
2019,97882,0,14,11
2020,100048,0,14,11
2021,99634,0,14,11
2022,103713,0,14,11
2023,103151,0,14,11
2013,77604,0,4,11
2014,67839,0,4,11
2015,67732,0,4,11
2016,77223,0,4,11
2017,80979,0,4,11
2018,81781,0,4,11
2019,85145,0,4,11
2020,86451,0,4,11
2021,85995,0,4,11
2022,88135,0,4,11
2023,87581,0,4,11
2013,78780,0,16,11
2014,68709,0,16,11
2015,69341,0,16,11
2016,80121,0,16,11
2017,84813,0,16,11
2018,87066,0,16,11
2019,90971,0,16,11
2020,93575,0,16,11
2021,92003,0,16,11
2022,95729,0,16,11
2023,95054,0,16,11
2013,52627,0,1,11
2014,45408,0,1,11
2015,44572,0,1,11
2016,51809,0,1,11
2017,56480,0,1,11
2018,56027,0,1,11
2019,57583,0,1,11
2020,59307,0,1,11
2021,60706,0,1,11
2022,62927,0,1,11
2023,62093,0,1,11
2013,64566,0,10,11
2014,57783,0,10,11
2015,57940,0,10,11
2016,66906,0,10,11
2017,71639,0,10,11
2018,72193,0,10,11
2019,74922,0,10,11
2020,76975,0,10,11
2021,77532,0,10,11
2022,79765,0,10,11
2023,80493,0,10,11
2013,39104,0,18,11
2014,35624,0,18,11
2015,35908,0,18,11
2016,41469,0,18,11
2017,44666,0,18,11
2018,45364,0,18,11
2019,47689,0,18,11
2020,49254,0,18,11
2021,49930,0,18,11
2022,51691,0,18,11
2023,52054,0,18,11
2013,25947,0,20,11
2014,23278,0,20,11
2015,23525,0,20,11
2016,26690,0,20,11
2017,27643,0,20,11
2018,28481,0,20,11
2019,29642,0,20,11
2020,30454,0,20,11
2021,30676,0,20,11
2022,32675,0,20,11
2023,35470,0,20,11
2013,57549,0,11,11
2014,51039,0,11,11
2015,51521,0,11,11
2016,58515,0,11,11
2017,61457,0,11,11
2018,62503,0,11,11
2019,64692,0,11,11
2020,66192,0,11,11
2021,65540,0,11,11
2022,67767,0,11,11
2023,67857,0,11,11
2013,45331,0,19,11
2014,39271,0,19,11
2015,39632,0,19,11
2016,46002,0,19,11
2017,49448,0,19,11
2018,50100,0,19,11
2019,52433,0,19,11
2020,53623,0,19,11
2021,52852,0,19,11
2022,55575,0,19,11
2023,55824,0,19,11
2013,47956,0,15,11
2014,42137,0,15,11
2015,42508,0,15,11
2016,49105,0,15,11
2017,52274,0,15,11
2018,53781,0,15,11
2019,56426,0,15,11
2020,58102,0,15,11
2021,58132,0,15,11
2022,61565,0,15,11
2023,61689,0,15,11
2013,59885,0,7,11
2014,53333,0,7,11
2015,53177,0,7,11
2016,60073,0,7,11
2017,63804,0,7,11
2018,63801,0,7,11
2019,65667,0,7,11
2020,66179,0,7,11
2021,66063,0,7,11
2022,67462,0,7,11
2023,67543,0,7,11
