year,value,monthID,districtID,unitID
2013,"38,9",0,21.0,14
2014,"34,3",0,21.0,14
2015,"34,4",0,21.0,14
2016,39,0,21.0,14
2017,"40,6",0,21.0,14
2018,40,0,21.0,14
2019,"40,5",0,21.0,14
2020,41,0,21.0,14
2021,"40,7",0,21.0,14
2022,"43,4",0,21.0,14
2023,"43,8",0,21.0,14
2013,39,0,,14
2014,"39,2",0,,14
2015,"39,9",0,,14
2016,"40,8",0,,14
2017,"42,1",0,,14
2018,"42,8",0,,14
2019,"43,9",0,,14
2020,"44,1",0,,14
2021,"43,4",0,,14
2022,"45,4",0,,14
2023,"45,9",0,,14
2013,"33,7",0,17.0,14
2014,"30,3",0,17.0,14
2015,"30,9",0,17.0,14
2016,"34,8",0,17.0,14
2017,36,0,17.0,14
2018,"36,5",0,17.0,14
2019,"37,4",0,17.0,14
2020,"37,3",0,17.0,14
2021,"37,7",0,17.0,14
2022,39,0,17.0,14
2023,"38,7",0,17.0,14
2013,36,0,3.0,14
2014,"32,4",0,3.0,14
2015,"32,6",0,3.0,14
2016,"36,8",0,3.0,14
2017,"38,6",0,3.0,14
2018,"38,2",0,3.0,14
2019,"39,4",0,3.0,14
2020,"39,5",0,3.0,14
2021,40,0,3.0,14
2022,41,0,3.0,14
2023,"40,9",0,3.0,14
2013,"36,2",0,8.0,14
2014,"32,4",0,8.0,14
2015,"32,4",0,8.0,14
2016,"36,5",0,8.0,14
2017,"38,1",0,8.0,14
2018,"37,9",0,8.0,14
2019,"38,5",0,8.0,14
2020,"38,4",0,8.0,14
2021,"38,9",0,8.0,14
2022,"39,7",0,8.0,14
2023,"39,6",0,8.0,14
2013,"36,8",0,9.0,14
2014,"33,2",0,9.0,14
2015,"33,2",0,9.0,14
2016,"37,5",0,9.0,14
2017,"40,4",0,9.0,14
2018,40,0,9.0,14
2019,"41,3",0,9.0,14
2020,"41,1",0,9.0,14
2021,"41,5",0,9.0,14
2022,"43,4",0,9.0,14
2023,"42,3",0,9.0,14
2013,"34,5",0,14.0,14
2014,"30,8",0,14.0,14
2015,"31,3",0,14.0,14
2016,"35,7",0,14.0,14
2017,"37,6",0,14.0,14
2018,"37,7",0,14.0,14
2019,"38,7",0,14.0,14
2020,"38,5",0,14.0,14
2021,"38,5",0,14.0,14
2022,"40,6",0,14.0,14
2023,"39,3",0,14.0,14
2013,"35,4",0,4.0,14
2014,"31,7",0,4.0,14
2015,32,0,4.0,14
2016,"36,4",0,4.0,14
2017,"38,1",0,4.0,14
2018,"38,1",0,4.0,14
2019,"39,4",0,4.0,14
2020,"39,3",0,4.0,14
2021,"39,7",0,4.0,14
2022,"41,2",0,4.0,14
2023,"39,7",0,4.0,14
2013,"33,8",0,16.0,14
2014,30,0,16.0,14
2015,"30,7",0,16.0,14
2016,"35,3",0,16.0,14
2017,"37,3",0,16.0,14
2018,"37,8",0,16.0,14
2019,"38,7",0,16.0,14
2020,"38,8",0,16.0,14
2021,"38,5",0,16.0,14
2022,"40,6",0,16.0,14
2023,"39,3",0,16.0,14
2013,"35,7",0,6.0,14
2014,32,0,6.0,14
2015,"31,9",0,6.0,14
2016,"36,6",0,6.0,14
2017,"38,9",0,6.0,14
2018,"38,5",0,6.0,14
2019,"39,3",0,6.0,14
2020,"39,8",0,6.0,14
2021,"40,5",0,6.0,14
2022,"41,3",0,6.0,14
2023,"41,2",0,6.0,14
2013,38,0,1.0,14
2014,"33,8",0,1.0,14
2015,34,0,1.0,14
2016,"39,1",0,1.0,14
2017,"42,8",0,1.0,14
2018,"42,3",0,1.0,14
2019,"42,7",0,1.0,14
2020,"42,2",0,1.0,14
2021,43,0,1.0,14
2022,"45,1",0,1.0,14
2023,"44,5",0,1.0,14
2013,"37,1",0,10.0,14
2014,"33,5",0,10.0,14
2015,"33,2",0,10.0,14
2016,"37,6",0,10.0,14
2017,"39,7",0,10.0,14
2018,"39,3",0,10.0,14
2019,"39,8",0,10.0,14
2020,"39,8",0,10.0,14
2021,"40,1",0,10.0,14
2022,"40,9",0,10.0,14
2023,"40,6",0,10.0,14
2013,"40,1",0,18.0,14
2014,"36,1",0,18.0,14
2015,36,0,18.0,14
2016,"40,6",0,18.0,14
2017,"42,8",0,18.0,14
2018,"42,1",0,18.0,14
2019,"43,2",0,18.0,14
2020,43,0,18.0,14
2021,"43,5",0,18.0,14
2022,45,0,18.0,14
2023,"44,3",0,18.0,14
2013,"36,9",0,20.0,14
2014,"33,4",0,20.0,14
2015,"33,9",0,20.0,14
2016,"38,2",0,20.0,14
2017,"39,5",0,20.0,14
2018,"40,1",0,20.0,14
2019,"41,1",0,20.0,14
2020,"41,1",0,20.0,14
2021,"40,6",0,20.0,14
2022,"41,2",0,20.0,14
2023,"42,3",0,20.0,14
2013,37,0,11.0,14
2014,"33,3",0,11.0,14
2015,"33,8",0,11.0,14
2016,"38,1",0,11.0,14
2017,"39,8",0,11.0,14
2018,40,0,11.0,14
2019,"40,9",0,11.0,14
2020,"41,1",0,11.0,14
2021,"40,9",0,11.0,14
2022,"42,7",0,11.0,14
2023,"42,1",0,11.0,14
2013,"33,3",0,19.0,14
2014,"29,4",0,19.0,14
2015,"29,9",0,19.0,14
2016,"34,3",0,19.0,14
2017,"36,7",0,19.0,14
2018,"36,6",0,19.0,14
2019,"37,6",0,19.0,14
2020,"37,5",0,19.0,14
2021,"37,1",0,19.0,14
2022,"39,5",0,19.0,14
2023,"39,1",0,19.0,14
2013,"33,2",0,15.0,14
2014,"29,7",0,15.0,14
2015,"30,2",0,15.0,14
2016,"34,7",0,15.0,14
2017,"36,7",0,15.0,14
2018,37,0,15.0,14
2019,"37,9",0,15.0,14
2020,"37,7",0,15.0,14
2021,"37,6",0,15.0,14
2022,40,0,15.0,14
2023,"38,8",0,15.0,14
2013,"38,9",0,7.0,14
2014,"35,2",0,7.0,14
2015,"35,4",0,7.0,14
2016,"39,6",0,7.0,14
2017,42,0,7.0,14
2018,"41,7",0,7.0,14
2019,"42,7",0,7.0,14
2020,"42,5",0,7.0,14
2021,"42,8",0,7.0,14
2022,"44,2",0,7.0,14
2023,"44,1",0,7.0,14
