year,value,monthID,districtID,unitID
2006,,0,21.0,12
2007,,0,21.0,12
2008,,0,21.0,12
2009,,0,21.0,12
2010,"118,91",0,21.0,12
2011,"126,22",0,21.0,12
2012,"130,95",0,21.0,12
2013,"125,05",0,21.0,12
2014,"127,67",0,21.0,12
2015,"129,85",0,21.0,12
2016,"152,92",0,21.0,12
2017,"156,18",0,21.0,12
2018,"155,76",0,21.0,12
2019,"158,74",0,21.0,12
2020,"156,99",0,21.0,12
2021,"153,13",0,21.0,12
2022,"128,1",0,21.0,12
2023,"133,88",0,21.0,12
2006,"75,27",0,,12
2007,"77,82",0,,12
2008,"76,39",0,,12
2009,"71,34",0,,12
2010,71,0,,12
2011,"69,87",0,,12
2012,"70,49",0,,12
2013,73,0,,12
2014,"73,66",0,,12
2015,"76,17",0,,12
2016,"79,58",0,,12
2017,"81,08",0,,12
2018,"83,22",0,,12
2019,"85,23",0,,12
2020,"85,5",0,,12
2021,"83,51",0,,12
2022,"88,8",0,,12
2023,"91,68",0,,12
2006,,0,5.0,12
2007,,0,5.0,12
2008,,0,5.0,12
2009,,0,5.0,12
2010,"9,98",0,5.0,12
2011,"11,99",0,5.0,12
2012,"12,27",0,5.0,12
2013,"13,24",0,5.0,12
2014,"13,37",0,5.0,12
2015,"14,09",0,5.0,12
2016,"14,3",0,5.0,12
2017,"14,58",0,5.0,12
2018,"14,86",0,5.0,12
2019,"15,26",0,5.0,12
2020,"14,79",0,5.0,12
2021,"13,73",0,5.0,12
2022,"15,25",0,5.0,12
2023,"15,54",0,5.0,12
2006,,0,17.0,12
2007,,0,17.0,12
2008,,0,17.0,12
2009,,0,17.0,12
2010,"8,82",0,17.0,12
2011,"9,15",0,17.0,12
2012,"8,95",0,17.0,12
2013,"12,09",0,17.0,12
2014,"12,93",0,17.0,12
2015,"14,66",0,17.0,12
2016,"15,31",0,17.0,12
2017,"15,5",0,17.0,12
2018,"15,92",0,17.0,12
2019,"16,02",0,17.0,12
2020,"15,98",0,17.0,12
2021,"15,42",0,17.0,12
2022,"16,22",0,17.0,12
2023,"16,79",0,17.0,12
2006,,0,3.0,12
2007,,0,3.0,12
2008,,0,3.0,12
2009,,0,3.0,12
2010,"171,24",0,3.0,12
2011,"182,04",0,3.0,12
2012,"181,45",0,3.0,12
2013,"182,27",0,3.0,12
2014,"181,25",0,3.0,12
2015,"164,28",0,3.0,12
2016,"156,26",0,3.0,12
2017,"159,84",0,3.0,12
2018,"164,35",0,3.0,12
2019,"166,28",0,3.0,12
2020,190,0,3.0,12
2021,"194,73",0,3.0,12
2022,"200,62",0,3.0,12
2023,"206,87",0,3.0,12
2006,,0,8.0,12
2007,,0,8.0,12
2008,,0,8.0,12
2009,,0,8.0,12
2010,"86,48",0,8.0,12
2011,"93,42",0,8.0,12
2012,"98,77",0,8.0,12
2013,"104,22",0,8.0,12
2014,"104,87",0,8.0,12
2015,"112,74",0,8.0,12
2016,"114,87",0,8.0,12
2017,"117,22",0,8.0,12
2018,"119,89",0,8.0,12
2019,"124,03",0,8.0,12
2020,"127,77",0,8.0,12
2021,"126,84",0,8.0,12
2022,"132,08",0,8.0,12
2023,"126,83",0,8.0,12
2006,,0,9.0,12
2007,,0,9.0,12
2008,,0,9.0,12
2009,,0,9.0,12
2010,"89,26",0,9.0,12
2011,"82,37",0,9.0,12
2012,"89,57",0,9.0,12
2013,"89,52",0,9.0,12
2014,"88,63",0,9.0,12
2015,"94,49",0,9.0,12
2016,"109,71",0,9.0,12
2017,"109,16",0,9.0,12
2018,"123,51",0,9.0,12
2019,"137,61",0,9.0,12
2020,"141,84",0,9.0,12
2021,"139,71",0,9.0,12
2022,"156,43",0,9.0,12
2023,"170,96",0,9.0,12
2006,,0,14.0,12
2007,,0,14.0,12
2008,,0,14.0,12
2009,,0,14.0,12
2010,"15,26",0,14.0,12
2011,"15,95",0,14.0,12
2012,"15,01",0,14.0,12
2013,"15,31",0,14.0,12
2014,"14,99",0,14.0,12
2015,"16,37",0,14.0,12
2016,"17,45",0,14.0,12
2017,"17,62",0,14.0,12
2018,"18,25",0,14.0,12
2019,"18,47",0,14.0,12
2020,"17,5",0,14.0,12
2021,"16,95",0,14.0,12
2022,"17,86",0,14.0,12
2023,"18,53",0,14.0,12
2006,,0,4.0,12
2007,,0,4.0,12
2008,,0,4.0,12
2009,,0,4.0,12
2010,"41,57",0,4.0,12
2011,"48,92",0,4.0,12
2012,"49,35",0,4.0,12
2013,"49,73",0,4.0,12
2014,"49,91",0,4.0,12
2015,"59,68",0,4.0,12
2016,"60,93",0,4.0,12
2017,"65,07",0,4.0,12
2018,"67,67",0,4.0,12
2019,"68,95",0,4.0,12
2020,"72,21",0,4.0,12
2021,"69,3",0,4.0,12
2022,"72,16",0,4.0,12
2023,"73,52",0,4.0,12
2006,,0,16.0,12
2007,,0,16.0,12
2008,,0,16.0,12
2009,,0,16.0,12
2010,"14,02",0,16.0,12
2011,"14,83",0,16.0,12
2012,"14,32",0,16.0,12
2013,"14,65",0,16.0,12
2014,"13,32",0,16.0,12
2015,"14,96",0,16.0,12
2016,"14,79",0,16.0,12
2017,"14,93",0,16.0,12
2018,"15,97",0,16.0,12
2019,"16,67",0,16.0,12
2020,"16,1",0,16.0,12
2021,"15,38",0,16.0,12
2022,"16,06",0,16.0,12
2023,"15,85",0,16.0,12
2006,,0,6.0,12
2007,,0,6.0,12
2008,,0,6.0,12
2009,,0,6.0,12
2010,"125,58",0,6.0,12
2011,"123,73",0,6.0,12
2012,"123,11",0,6.0,12
2013,"129,44",0,6.0,12
2014,"129,15",0,6.0,12
2015,"127,28",0,6.0,12
2016,"131,97",0,6.0,12
2017,"138,52",0,6.0,12
2018,"139,18",0,6.0,12
2019,"142,23",0,6.0,12
