year,value,monthID,districtID,unitID
2006,,0,21.0,2
2007,,0,21.0,2
2008,,0,21.0,2
2009,,0,21.0,2
2010,"5,06",0,21.0,2
2011,"5,14",0,21.0,2
2012,"4,63",0,21.0,2
2013,"4,95",0,21.0,2
2014,"5,68",0,21.0,2
2015,"6,01",0,21.0,2
2016,"6,03",0,21.0,2
2017,"6,46",0,21.0,2
2018,"4,55",0,21.0,2
2019,"7,05",0,21.0,2
2020,"7,51",0,21.0,2
2021,"7,62",0,21.0,2
2022,"8,3",0,21.0,2
2023,"8,38",0,21.0,2
2024,,0,21.0,2
2025,,0,21.0,2
2006,"8,08",0,,2
2007,"8,45",0,,2
2008,"8,41",0,,2
2009,"7,99",0,,2
2010,8,0,,2
2011,"8,38",0,,2
2012,"8,52",0,,2
2013,9,0,,2
2014,"8,85",0,,2
2015,"9,26",0,,2
2016,"9,39",0,,2
2017,"9,54",0,,2
2018,"9,62",0,,2
2019,"8,96",0,,2
2020,"8,95",0,,2
2021,"8,87",0,,2
2022,"9,02",0,,2
2023,"9,8",0,,2
2024,,0,,2
2025,9,0,,2
2006,,0,5.0,2
2007,,0,5.0,2
2008,,0,5.0,2
2009,,0,5.0,2
2010,"4,3",0,5.0,2
2011,"4,42",0,5.0,2
2012,"3,95",0,5.0,2
2013,"4,25",0,5.0,2
2014,"4,86",0,5.0,2
2015,"5,09",0,5.0,2
2016,"5,21",0,5.0,2
2017,"5,58",0,5.0,2
2018,"4,57",0,5.0,2
2019,"5,96",0,5.0,2
2020,"5,98",0,5.0,2
2021,"5,73",0,5.0,2
2022,"5,65",0,5.0,2
2023,"5,56",0,5.0,2
2024,,0,5.0,2
2025,,0,5.0,2
2006,,0,17.0,2
2007,,0,17.0,2
2008,,0,17.0,2
2009,,0,17.0,2
2010,"3,62",0,17.0,2
2011,"3,8",0,17.0,2
2012,"3,44",0,17.0,2
2013,"3,63",0,17.0,2
2014,"4,08",0,17.0,2
2015,"4,37",0,17.0,2
2016,"4,56",0,17.0,2
2017,"4,9",0,17.0,2
2018,"4,47",0,17.0,2
2019,"5,36",0,17.0,2
2020,"5,59",0,17.0,2
2021,"5,44",0,17.0,2
2022,"5,45",0,17.0,2
2023,"5,51",0,17.0,2
2024,,0,17.0,2
2025,,0,17.0,2
2006,,0,3.0,2
2007,,0,3.0,2
2008,,0,3.0,2
2009,,0,3.0,2
2010,"9,89",0,3.0,2
2011,"9,96",0,3.0,2
2012,"8,8",0,3.0,2
2013,"9,16",0,3.0,2
2014,"10,22",0,3.0,2
2015,"10,5",0,3.0,2
2016,"10,33",0,3.0,2
2017,"11,07",0,3.0,2
2018,"8,99",0,3.0,2
2019,12,0,3.0,2
2020,"12,19",0,3.0,2
2021,"12,03",0,3.0,2
2022,"12,11",0,3.0,2
2023,"12,26",0,3.0,2
2024,,0,3.0,2
2025,,0,3.0,2
2006,,0,8.0,2
2007,,0,8.0,2
2008,,0,8.0,2
2009,,0,8.0,2
2010,"6,16",0,8.0,2
2011,"6,55",0,8.0,2
2012,"5,81",0,8.0,2
2013,"6,25",0,8.0,2
2014,"7,07",0,8.0,2
2015,"7,69",0,8.0,2
2016,"7,7",0,8.0,2
2017,"8,33",0,8.0,2
2018,"6,5",0,8.0,2
2019,"9,26",0,8.0,2
2020,"9,55",0,8.0,2
2021,"9,37",0,8.0,2
2022,"9,36",0,8.0,2
2023,"9,51",0,8.0,2
2024,,0,8.0,2
2025,,0,8.0,2
2006,,0,9.0,2
2007,,0,9.0,2
2008,,0,9.0,2
2009,,0,9.0,2
2010,"7,92",0,9.0,2
2011,"8,09",0,9.0,2
2012,"7,03",0,9.0,2
2013,"7,25",0,9.0,2
2014,"8,17",0,9.0,2
2015,"8,59",0,9.0,2
2016,"8,27",0,9.0,2
2017,"8,79",0,9.0,2
2018,"6,48",0,9.0,2
2019,"9,11",0,9.0,2
2020,"9,15",0,9.0,2
2021,"8,92",0,9.0,2
2022,"8,99",0,9.0,2
2023,"8,93",0,9.0,2
2024,,0,9.0,2
2025,,0,9.0,2
2006,,0,14.0,2
2007,,0,14.0,2
2008,,0,14.0,2
2009,,0,14.0,2
2010,"4,82",0,14.0,2
2011,"4,9",0,14.0,2
2012,"4,43",0,14.0,2
2013,"4,74",0,14.0,2
2014,"5,33",0,14.0,2
2015,"5,63",0,14.0,2
2016,"5,72",0,14.0,2
2017,"6,01",0,14.0,2
2018,"4,28",0,14.0,2
2019,"6,32",0,14.0,2
2020,"6,31",0,14.0,2
2021,"6,05",0,14.0,2
2022,"5,94",0,14.0,2
2023,"5,85",0,14.0,2
2024,,0,14.0,2
2025,,0,14.0,2
2006,,0,4.0,2
2007,,0,4.0,2
2008,,0,4.0,2
2009,,0,4.0,2
2010,"5,91",0,4.0,2
2011,"6,09",0,4.0,2
2012,"5,51",0,4.0,2
2013,"5,81",0,4.0,2
2014,"6,54",0,4.0,2
2015,"6,83",0,4.0,2
2016,"6,94",0,4.0,2
2017,"7,38",0,4.0,2
2018,"5,91",0,4.0,2
2019,"7,86",0,4.0,2
2020,"7,95",0,4.0,2
2021,"7,72",0,4.0,2
2022,"7,6",0,4.0,2
2023,"7,32",0,4.0,2
2024,,0,4.0,2
2025,,0,4.0,2
2006,,0,16.0,2
2007,,0,16.0,2
2008,,0,16.0,2
2009,,0,16.0,2
2010,"3,82",0,16.0,2
2011,"3,91",0,16.0,2
2012,"3,59",0,16.0,2
2013,"3,73",0,16.0,2
2014,"4,1",0,16.0,2
2015,"4,22",0,16.0,2
2016,"4,21",0,16.0,2
2017,"4,51",0,16.0,2
2018,"3,67",0,16.0,2
2019,"4,84",0,16.0,2
2020,5,0,16.0,2
