barrioID,barrioName,districtID
1,Huertas-Cortes,1
2,Castellana,2
3,Recoletos,2
4,Guindalera,2
5,Nueva España,3
6,Lista,2
7,Lavapiés-Embajadores,1
8,San Juan Bautista,4
9,Chueca-Justicia,1
10,El Viso,3
11,Malasaña-Universidad,1
12,Puerta del Ángel,5
13,Trafalgar,6
14,Palacio,1
15,Palos de la Frontera,7
16,Sol,1
17,Ibiza,8
18,Ventilla-Almenara,9
19,Cuatro Caminos,9
20,Almagro,6
21,Nuevos Ministerios-Ríos Rosas,6
22,Virgen del Cortijo - Manoteras,10
23,Chopera,7
24,Acacias,7
25,Fuente del Berro,2
26,Simancas,11
27,Conde Orgaz-Piovera,10
28,Peñagrande,12
29,Goya,2
30,Valdeacederas,9
31,Argüelles,13
32,Abrantes,14
33,Legazpi,7
34,Pinar del Rey,10
35,Bernabéu-Hispanoamérica,3
36,Comillas,14
37,Valdezarza,13
38,Bellas Vistas,9
39,Quintana,4
40,Estrella,8
41,Imperial,7
42,Prosperidad,3
43,Palomas,10
44,Castilla,3
45,Pacífico,8
46,Pau de Carabanchel,14
47,Gaztambide,6
48,Rejas,11
49,Arapiles,6
50,Niño Jesús,8
51,Delicias,7
52,Berruguete,9
53,Ciudad Jardín,3
54,Pueblo Nuevo,4
55,La Paz,12
56,Los Rosales,15
57,Ciudad Universitaria,13
58,Cuzco-Castillejos,9
59,Vallehermoso,6
60,Las Tablas,12
61,Ventas,4
62,Casa de Campo,13
63,Valdebebas - Valdefuentes,10
64,Jerónimos,8
65,Numancia,16
66,Adelfas,8
67,San Isidro,14
68,Horcajo,17
69,Aluche,5
70,Canillas,10
71,Ensanche de Vallecas - La Gavia,18
72,Opañel,14
73,Valdemarín,13
74,Apóstol Santiago,10
75,Costillares,4
76,Concepción,4
77,Tres Olivos - Valverde,12
78,Fontarrón,17
79,San Diego,16
80,Canillejas,11
81,Almendrales,19
82,Lucero,5
83,Vista Alegre,14
84,Colina,4
85,Sanchinarro,10
86,Campamento,5
87,Orcasitas,19
88,Aravaca,13
89,El Cañaveral,20
90,Casco Histórico de Barajas,21
91,Media Legua,17
92,Palomeras sureste,16
93,San Pascual,4
94,Pilar,12
95,Palomeras Bajas,16
96,San Fermín,19
97,Moscardó,19
98,Villaverde Alto,15
99,Salvador,11
100,Buena Vista,14
101,Ambroz,20
102,Atalaya,4
103,Los Ángeles,15
104,El Plantío,13
105,Butarque,15
106,Montecarmelo,12
107,Casco Histórico de Vallecas,18
108,Marroquina,17
109,Los Cármenes,5
110,Mirasierra,12
111,Arroyo del Fresno,12
112,Águilas,5
113,Alameda de Osuna,21
114,Zofío,19
115,Entrevías,16
116,Fuentelarreina,12
117,Pradolongo,19
118,Amposta,11
119,Portazgo,16
120,Timón,21
121,San Cristóbal,15
122,Arcos,11
123,Puerta Bonita,14
124,Campo de las Naciones-Corralejos,21
125,Casco Histórico de Vicálvaro,20
126,Cuatro Vientos,5
127,Rosas,11
128,Santa Eugenia,18
129,Vinateros,17
130,12 de Octubre-Orcasur,19
131,Valdebernardo - Valderrivas,20
132,Los Berrocales,20
133,Pavones,17
134,Los Cerros,20
135,Hellín,11
136,El Pardo,12
137,Valdecarros,18
