year,value,monthID,districtID,unitID
2005,"22,64",0,21.0,10
2006,"23,15",0,21.0,10
2007,"23,56",0,21.0,10
2008,"23,65",0,21.0,10
2009,"23,74",0,21.0,10
2010,"23,33",0,21.0,10
2011,"22,75",0,21.0,10
2012,"22,7",0,21.0,10
2013,"23,06",0,21.0,10
2014,"23,2",0,21.0,10
2015,"23,24",0,21.0,10
2016,"23,78",0,21.0,10
2017,"23,83",0,21.0,10
2018,"24,3",0,21.0,10
2019,"24,8",0,21.0,10
2020,"24,9",0,21.0,10
2021,"26,3",0,21.0,10
2022,"26,8",0,21.0,10
2023,"27,81",0,21.0,10
2024,"29,3",0,21.0,10
2025,"31,04",0,21.0,10
2005,"26,61",0,,10
2006,"27,11",0,,10
2007,"28,12",0,,10
2008,"28,96",0,,10
2009,"29,9",0,,10
2010,"30,78",0,,10
2011,"31,72",0,,10
2012,"32,61",0,,10
2013,"33,51",0,,10
2014,"34,33",0,,10
2015,"35,02",0,,10
2016,"35,49",0,,10
2017,"36,1",0,,10
2018,"36,19",0,,10
2019,36,0,,10
2020,"35,2",0,,10
2021,"35,4",0,,10
2022,35,0,,10
2023,"34,59",0,,10
2024,"34,7",0,,10
2025,"34,76",0,,10
2005,"23,72",0,5.0,10
2006,"23,95",0,5.0,10
2007,"24,7",0,5.0,10
2008,"25,27",0,5.0,10
2009,"25,99",0,5.0,10
2010,"26,68",0,5.0,10
2011,"27,44",0,5.0,10
2012,"28,6",0,5.0,10
2013,"29,65",0,5.0,10
2014,"30,64",0,5.0,10
2015,"31,82",0,5.0,10
2016,"32,89",0,5.0,10
2017,"34,4",0,5.0,10
2018,"35,42",0,5.0,10
2019,"36,3",0,5.0,10
2020,"36,6",0,5.0,10
2021,"38,3",0,5.0,10
2022,"38,8",0,5.0,10
2023,"39,27",0,5.0,10
2024,"40,3",0,5.0,10
2025,"41,11",0,5.0,10
2005,"20,17",0,17.0,10
2006,"20,39",0,17.0,10
2007,"21,37",0,17.0,10
2008,"22,49",0,17.0,10
2009,"23,71",0,17.0,10
2010,"24,9",0,17.0,10
2011,"26,4",0,17.0,10
2012,"28,16",0,17.0,10
2013,"29,97",0,17.0,10
2014,"31,73",0,17.0,10
2015,"33,7",0,17.0,10
2016,"35,47",0,17.0,10
2017,"37,22",0,17.0,10
2018,"38,71",0,17.0,10
2019,"39,5",0,17.0,10
2020,"39,4",0,17.0,10
2021,"40,3",0,17.0,10
2022,"40,6",0,17.0,10
2023,"40,61",0,17.0,10
2024,"41,1",0,17.0,10
2025,"41,05",0,17.0,10
2005,"29,56",0,3.0,10
2006,"30,27",0,3.0,10
2007,"31,39",0,3.0,10
2008,"32,44",0,3.0,10
2009,"33,4",0,3.0,10
2010,"34,16",0,3.0,10
2011,"34,77",0,3.0,10
2012,"35,11",0,3.0,10
2013,"35,56",0,3.0,10
2014,"35,83",0,3.0,10
2015,"36,27",0,3.0,10
2016,"36,42",0,3.0,10
2017,"36,74",0,3.0,10
2018,"36,4",0,3.0,10
2019,"35,8",0,3.0,10
2020,"35,1",0,3.0,10
2021,"35,2",0,3.0,10
2022,"35,3",0,3.0,10
2023,,0,3.0,10
2024,"35,3",0,3.0,10
2025,"35,66",0,3.0,10
