placeID,placeName,website
1,Museum of Illusions Madrid,https://museumofillusions.es/
2,Coworking LOOM El Viso,https://loom.es/espacios-coworking/madrid/loom-el-viso/
3,Aticco María De Molina - Coworking en Madrid,https://aticco.com/aticco-maria-molina/?utm_source=Google_Business&utm_medium=organic&utm_campaign=coworking_maria_molina
4,Colegio El Porvenir,https://www.elporvenir.es/
5,Brewster Madrid - Chamberí,https://www.brewstermadrid.com/
6,Restaurante Ultramarinos Quintin,http://www.ultramarinosquintin.es/
7,Alimentación - frutos secos y ultramarinos,
8,Ultramarinos Octavio,http://www.lacharcuteriadeoctavio.com/
9,Santiago Ultramarinos,http://www.santiagoultramarinos.com/
10,Ultramarinos La Genuina,
11,Multi Asia,
12,Alimentación Ferreiras,
13,ALIMENTACION Y BAZAR,
14,Serrin Ultramarinos - Productos Gallegos,https://serrinultramarinos.com/tienda/
15,Ultramarinos Zappa's No.3,https://ultramarinoszappas.com/
16,Tienda La Meca,
17,Negin Gourmet,https://negingourmet.es/
18,ULTRAMARINES DEL COSO | SAN JOAQUÍN,https://lamuccacompany.es/ultramarines-del-coso/?fbclid=PAAaajSnw4WmUanD6iysk6i3PGY2JyjRaAU9jJe4ykbYENRlicyt8jbzJYy08_aem_AfvwR7pe8pW5yIRbvVSMA6eT4Ith-TOs8uTuauvQ8-imkt1bgXc1gdJgZpHQKaB3Qvc
19,La Recortá Ultramarinos - Bar,https://www.lacortaultramarinos.com/reservas-online/
20,Ultramarinos,
21,Alimentación Rosita,
22,Tienda Open 25,
23,Alimentación Mediavilla,https://alimentacionmediavilla.com.es/
24,""" Lol & Tó"" Taberna Ultramarinos de barrio.",
25,MANTEQUERÍA ANDRÉS,http://www.mantequeriaandres.com/
26,Comestibles LAVERA,https://www.instagram.com/comestibles_lavera/?igsh=amlldGQyazc3Mnow
27,Asiático minimarket,
28,Centro Comercial Sarria,
29,Ultramarinos Emilio Otero,
30,Panadería La Tahona,
31,REYES,
32,aeXtetic,
33,Carnicería del Alba,https://www.facebook.com/carniceria.delalba
34,Ángel mercados de carne,
35,Carnicería Hnos De diego,
36,Carnicería Mariano y Tomás,
37,Carnicería El Kheir,
38,Carnicería-Charcutería jesus,http://carniceriajesus.gueb.es/
39,El alberche,
40,Carnicería Garzón,
41,Armandito,https://www.armandito.es/
42,Carnicería El Parque,
43,Los González,
44,Carnicería Los Madriles,http://www.carnicerialosmadriles.com/
45,Los Serranos.,
46,Jamonería Pablo,
47,Carniceria - Charcuteria,
48,Carniceria jabir,
49,Marbris S.L.,http://marbris.com/
50,Carniceria alyusr,
51,Carnicería Estilo Campo,https://carniceriaestilocampo.com/
52,SO'O PORĂ SUPERMERCADO,
53,Carnicería José Montero,
54,Carnicería La Tradicional,https://latradicional.eu/
55,CARNICERÍA R.M.,
56,Carnicería SALPAUR,
57,Carnicería La Palmera,
58,Sa-Ra Carnicería Charcutería Pollería,
59,Carnicería El Vaquero,
60,Carniceria los Extremeños,
61,Carnicería dimensión latina,
62,Supermercados Dia,http://www.dia.es/compra-online/
63,Frutas Y Verduras Macedonia Supermercado,
64,Lidl,https://www.lidl.es/
65,Alcampo,https://www.compraonline.alcampo.es/?utm_campaign=GMB&utm_content=home&utm_medium=organic&utm_source=google&utm_term=sitio_web
66,Mercadona,https://www.mercadona.es/
67,Carrefour Express EESS,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/monforte-lemos-madrid-cepsa-s.aspx
68,ALDI,https://www.aldi.es/
69,Carrefour Market,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-market/sinesio_delgado_-_s.aspx
70,Supermercados La Despensa Isla Tavira,https://ladespensasupermercados.es/
71,Ahorramas,https://www.ahorramas.com/?utm_source=google&utm_medium=gmb&utm_campaign=MadridFuencarral-El-PardoEl-PilarBetanzos-37
72,Supermercados,
73,Supermercado Ahorramas,https://www.ahorramas.com/?utm_source=google&utm_medium=gmb&utm_campaign=MadridTetuanAlmenaraEmilia-46-C/V-Sorolla-5
74,Panic La Nave,
75,Pastelería Inbay,
76,Spelta Bakery,https://spelta.eatbu.com/
77,Panaderia Pasteleria El Paso,
78,La Boutique del Pan,
79,Pasteleria El Caprichito,
80,Bakery,https://www.facebook.com/ElTiodelaRosca/
81,Panadería Gallofa&Co,https://gallofa.com/
82,Panificadora Brígida Alonso S,
83,Pastelería Patio Baena,
84,Panadería PAN Y MIGA,
85,Pan Arts & coffee,https://panartsandcoffee.com/
86,Panaderia Pasteleria Flambres Prieto,
87,Panadería the best,
88,Tahona La Baguette,https://www.facebook.com/tahonalabaguette
89,Panadería Lácteos,
90,Panadería Trigo Y Tereré,https://project10331511.tilda.ws/
91,PANADERIA PASTELERIA LATINA,
92,Bonjour Panadería Pastelería,
93,ANTOÑITOS PANADERIA,https://antonitos.com/
94,Croûton Panadería Artesana,https://crouton.es/
95,Panishop,http://www.panishop.com/
96,Julio Pescados y Mariscos,
97,Pescadería Carrasco,
