year,value,monthID,districtID,unitID
2005,"16,02",0,21.0,16
2006,"16,39",0,21.0,16
2007,"16,9",0,21.0,16
2008,"16,96",0,21.0,16
2009,"17,17",0,21.0,16
2010,"17,53",0,21.0,16
2011,"17,78",0,21.0,16
2012,"18,01",0,21.0,16
2013,"18,1",0,21.0,16
2014,"18,25",0,21.0,16
2015,"18,36",0,21.0,16
2016,"18,46",0,21.0,16
2017,"18,62",0,21.0,16
2018,"18,46",0,21.0,16
2019,"18,33",0,21.0,16
2020,"18,08",0,21.0,16
2021,"17,66",0,21.0,16
2022,"16,73",0,21.0,16
2023,"16,19",0,21.0,16
2024,"15,62",0,21.0,16
2025,"14,95",0,21.0,16
2005,"13,59",0,,16
2006,"13,6",0,,16
2007,"13,72",0,,16
2008,"13,87",0,,16
2009,"14,05",0,,16
2010,"14,19",0,,16
2011,"14,29",0,,16
2012,"14,4",0,,16
2013,"14,46",0,,16
2014,"14,48",0,,16
2015,"14,5",0,,16
2016,"14,51",0,,16
2017,"14,49",0,,16
2018,"14,37",0,,16
2019,"14,22",0,,16
2020,"13,98",0,,16
2021,"13,76",0,,16
2022,"13,55",0,,16
2023,"13,29",0,,16
2024,"13,03",0,,16
2025,"12,74",0,,16
2005,"11,88",0,5.0,16
2006,"11,9",0,5.0,16
2007,"12,06",0,5.0,16
2008,"12,21",0,5.0,16
2009,"12,43",0,5.0,16
2010,"12,52",0,5.0,16
2011,"12,63",0,5.0,16
2012,"12,75",0,5.0,16
2013,"12,76",0,5.0,16
2014,"12,76",0,5.0,16
2015,"12,68",0,5.0,16
2016,"12,64",0,5.0,16
2017,"12,68",0,5.0,16
2018,"12,54",0,5.0,16
2019,"12,44",0,5.0,16
2020,"12,27",0,5.0,16
2021,"12,05",0,5.0,16
2022,"11,87",0,5.0,16
2023,"11,68",0,5.0,16
2024,"11,52",0,5.0,16
2025,"11,29",0,5.0,16
2005,"14,25",0,17.0,16
2006,"14,21",0,17.0,16
2007,"14,14",0,17.0,16
2008,"14,1",0,17.0,16
2009,"14,03",0,17.0,16
2010,"13,92",0,17.0,16
2011,"13,73",0,17.0,16
2012,"13,59",0,17.0,16
2013,"13,38",0,17.0,16
2014,"13,09",0,17.0,16
2015,"12,77",0,17.0,16
2016,"12,54",0,17.0,16
2017,"12,33",0,17.0,16
2018,"12,14",0,17.0,16
2019,"11,88",0,17.0,16
2020,"11,57",0,17.0,16
2021,"11,41",0,17.0,16
2022,"11,12",0,17.0,16
2023,"10,94",0,17.0,16
2024,"10,82",0,17.0,16
2025,"10,58",0,17.0,16
2005,"14,07",0,3.0,16
2006,14,0,3.0,16
2007,"13,69",0,3.0,16
2008,"13,55",0,3.0,16
2009,"13,61",0,3.0,16
2010,"13,54",0,3.0,16
2011,"13,6",0,3.0,16
2012,"13,58",0,3.0,16
2013,"13,62",0,3.0,16
2014,"13,55",0,3.0,16
