year,value,monthID,districtID,unitID
2003,,0,21.0,13
2004,,0,21.0,13
2005,"9,97",0,21.0,13
2006,"11,29",0,21.0,13
2007,"11,39",0,21.0,13
2008,"12,23",0,21.0,13
2009,"12,95",0,21.0,13
2010,"13,35",0,21.0,13
2011,"13,15",0,21.0,13
2012,"11,89",0,21.0,13
2013,"11,02",0,21.0,13
2014,"9,78",0,21.0,13
2015,"8,79",0,21.0,13
2016,"8,6",0,21.0,13
2017,"8,6",0,21.0,13
2018,"8,86",0,21.0,13
2019,"9,41",0,21.0,13
2020,"10,1",0,21.0,13
2021,"10,26",0,21.0,13
2022,"10,04",0,21.0,13
2023,"10,63",0,21.0,13
2024,"11,58",0,21.0,13
2025,"12,31",0,21.0,13
2003,"11,51",0,,13
2004,"12,53",0,,13
2005,"14,29",0,,13
2006,"15,82",0,,13
2007,"15,86",0,,13
2008,"16,9",0,,13
2009,"17,47",0,,13
2010,"17,34",0,,13
2011,"16,93",0,,13
2012,"15,43",0,,13
2013,"14,41",0,,13
2014,"13,14",0,,13
2015,"12,07",0,,13
2016,"12,19",0,,13
2017,"12,41",0,,13
2018,"13,12",0,,13
2019,"14,1",0,,13
2020,"15,32",0,,13
2021,"15,82",0,,13
2022,"15,74",0,,13
2023,"17,08",0,,13
2024,"18,99",0,,13
2025,"19,99",0,,13
2003,,0,5.0,13
2004,,0,5.0,13
2005,"14,17",0,5.0,13
2006,"16,3",0,5.0,13
2007,"17,37",0,5.0,13
2008,"18,87",0,5.0,13
2009,"19,42",0,5.0,13
2010,"19,15",0,5.0,13
2011,"18,78",0,5.0,13
2012,"17,24",0,5.0,13
2013,"16,06",0,5.0,13
2014,"14,49",0,5.0,13
2015,"13,28",0,5.0,13
2016,"13,28",0,5.0,13
2017,"13,51",0,5.0,13
2018,"14,48",0,5.0,13
2019,"15,61",0,5.0,13
2020,"17,07",0,5.0,13
2021,"17,73",0,5.0,13
2022,"17,48",0,5.0,13
2023,"19,05",0,5.0,13
2024,"21,15",0,5.0,13
2025,"22,04",0,5.0,13
2003,,0,17.0,13
2004,,0,17.0,13
2005,"8,07",0,17.0,13
2006,"9,32",0,17.0,13
2007,"9,91",0,17.0,13
2008,"10,82",0,17.0,13
2009,"11,19",0,17.0,13
2010,"10,96",0,17.0,13
2011,"10,75",0,17.0,13
2012,"9,98",0,17.0,13
2013,"9,17",0,17.0,13
2014,"8,41",0,17.0,13
2015,"7,61",0,17.0,13
2016,"7,8",0,17.0,13
2017,"7,98",0,17.0,13
2018,"8,42",0,17.0,13
2019,"9,35",0,17.0,13
2020,"10,54",0,17.0,13
2021,"10,69",0,17.0,13
2022,"10,69",0,17.0,13
2023,"11,98",0,17.0,13
2024,"13,92",0,17.0,13
2025,"14,72",0,17.0,13
2003,,0,3.0,13
2004,,0,3.0,13
2005,"10,98",0,3.0,13
2006,"12,02",0,3.0,13
2007,"11,43",0,3.0,13
2008,"11,74",0,3.0,13
2009,"12,12",0,3.0,13
2010,"12,04",0,3.0,13
2011,"11,95",0,3.0,13
2012,"10,83",0,3.0,13
2013,"10,42",0,3.0,13
2014,"9,53",0,3.0,13
2015,"8,75",0,3.0,13
2016,"8,81",0,3.0,13
2017,"8,87",0,3.0,13
2018,"9,09",0,3.0,13
2019,"9,46",0,3.0,13
2020,"10,08",0,3.0,13
2021,"10,34",0,3.0,13
2022,"10,29",0,3.0,13
2023,11,0,3.0,13
2024,"12,32",0,3.0,13
2025,"13,16",0,3.0,13
2003,,0,8.0,13
2004,,0,8.0,13
2005,"8,92",0,8.0,13
2006,"9,67",0,8.0,13
2007,"9,25",0,8.0,13
2008,"9,64",0,8.0,13
2009,"9,98",0,8.0,13
2010,"9,75",0,8.0,13
2011,"9,43",0,8.0,13
2012,"8,55",0,8.0,13
2013,"8,06",0,8.0,13
2014,"7,28",0,8.0,13
