addressID,address
1,calle del Gobernador s/n
2,calle de Serrano
3,calle de Oltra
4,Barrio Recoletos
5,"calle de Triana, 35"
6,calle del General Oráa
7,calle del Duque de Rivas
8,Barrio San Juan Bautista
9,calle de Triana
10,calle de Ayala
11,calle del Marqués de la Ensenada
12,Barrio El Viso
13,Corredera Alta de San Pablo
14,"calle de Buenavista, 44"
15,calle de Antonio Zamora
16,calle de Quesada
17,calle de Santa Isabel
18,"calle de San Buenaventura, 6"
19,Barrio Malasaña-Universidad
20,calle de Gravina
21,calle de Hortaleza
22,calle de Moratín
23,calle del Prado
24,calle Embajadores
25,calle Imperial
26,"calle de O'Donnell, 6"
27,calle de O'Donnell
28,paseo de la Castellana
29,calle de los Artistas
30,avenida de Menéndez Pelayo
31,Barrio Almagro
32,calle del Nuncio
33,calle de Alonso Cano
34,Barrio Virgen del Cortijo - Manoteras
35,"calle de Guillermo de Osma, 4"
36,calle San Anastasio
37,"calle de Diego Bahamonde, 21"
38,calle del Conde de Peñalver
39,calle del Sombrerete
40,calle del Amparo
41,avenida de Canillejas a Vicálvaro
42,glorieta de Ruiz Giménez
43,"CL MOSCATELAR, 34"
44,avenida del General Perón
45,"calle de Cuchilleros, 3"
46,"calle del Conde de Peñalver, 56"
47,calle de las Islas Cíes
48,calle del General Pardiñas
49,calle de Narváez
50,calle del Cid
51,calle del Barco s/n
52,paseo de la Dirección
53,via Gran Vía
54,calle de Evaristo San Miguel
55,calle de Núñez de Balboa
56,calle de la Hermandad
57,"calle de Sodio, 1"
58,Barrio Pinar del Rey
59,"plaza de Cristino Martos, 4"
60,calle de José Ortega y Gasset
61,"calle de Herreros de Tejada, 10"
62,"CARRETAS, 25"
63,Barrio Castellana
64,calle del Conde de Xiquena
65,Barrio Comillas
66,calle de Claudio Coello
67,de martinez
68,Barrio Valdezarza
69,calle Francisco Salas
70,calle del Meson de Paredes
71,"calle de los Misterios, 57"
72,calle de Perseo
73,"calle Casimiro Mahou Bierhans, 25"
74,"calle de Bordadores, 4"
75,"calle de Ruiz Perelló, 7"
76,calle del Padre Xifré
77,paseo del Pintor Rosales
78,Barrio Palacio
79,calle de Sevilla
80,calle de Medellín
81,"avenida de los Arces, 11"
82,calle Barcelona
83,calle de Villanueva
84,"calle de Rafael Herrera, 11"
85,calle Luruaco
86,calle de Granada
87,avenida de la Peseta
88,calle Velázquez
89,calle del Desengaño
90,calle de López de Hoyos
91,"calle de O'Donnell, 22"
92,Barrio Goya
93,calle de El Españoleto
94,calle de Lagasca
95,calle de Jesús del Valle s/n
96,PZ MOSTENSES
97,"calle Anzuola, 5"
98,avenida de Burgos
99,calle de Miguel Moya
100,calle de Rodríguez San Pedro
101,calle de la Palma
102,calle Diez
103,calle de Blasco de Garay
104,avenida de Nazaret
105,calle de la Ribera de Curtidores
106,"calle de Ciudad Real, 10"
107,Barrio Nueva España
108,calle de Cochabamba
109,calle del Divino Pastor
110,calle del Segre
111,plaza del Niño Jesús
112,avenida del Doctor Federico Rubio y Galí
113,"calle de José Calvo, 1"
114,avenida de la Ciudad de Barcelona
115,travesía del Conde Duque
116,"calle de Lagasca, 61"
117,CL RAIMUNDO LULIO
118,calle de Juan Bravo
119,calle de Recoletos
120,calle de Pelayo
121,calle de Arrieta
122,Barrio Lista
123,calle de Echegaray
124,"ronda de Segovia, 17"
