year,value,monthID,districtID,unitID
2015,"8,91",1,21.0,5
2015,"8,99",2,21.0,5
2015,"8,83",3,21.0,5
2015,"8,6",4,21.0,5
2015,"8,2",5,21.0,5
2015,"7,97",6,21.0,5
2015,"7,96",7,21.0,5
2015,"8,06",8,21.0,5
2015,"7,85",9,21.0,5
2015,"7,84",10,21.0,5
2015,"7,74",11,21.0,5
2015,"7,74",12,21.0,5
2016,"7,76",1,21.0,5
2016,"7,92",2,21.0,5
2016,"7,83",3,21.0,5
2016,"7,72",4,21.0,5
2016,"7,5",5,21.0,5
2016,"7,45",6,21.0,5
2016,"7,37",7,21.0,5
2016,"7,49",8,21.0,5
2016,"7,14",9,21.0,5
2016,"7,13",10,21.0,5
2016,"7,1",11,21.0,5
2016,"6,96",12,21.0,5
2017,"7,06",1,21.0,5
2017,"7,14",2,21.0,5
2017,"7,13",3,21.0,5
2017,"6,97",4,21.0,5
2017,"6,84",5,21.0,5
2017,"6,51",6,21.0,5
2017,"6,5",7,21.0,5
2017,"6,67",8,21.0,5
2017,"6,67",9,21.0,5
2017,"6,67",10,21.0,5
2017,"6,34",11,21.0,5
2017,"6,31",12,21.0,5
2018,"6,44",1,21.0,5
2018,"6,48",2,21.0,5
2018,"6,38",3,21.0,5
2018,"6,29",4,21.0,5
2018,"6,08",5,21.0,5
2018,"5,74",6,21.0,5
2018,"5,68",7,21.0,5
2018,"5,62",8,21.0,5
2018,"5,75",9,21.0,5
2018,"5,77",10,21.0,5
2018,"5,64",11,21.0,5
2018,"5,55",12,21.0,5
2019,"5,91",1,21.0,5
2019,"5,96",2,21.0,5
2019,"5,94",3,21.0,5
2019,"5,81",4,21.0,5
2019,"5,59",5,21.0,5
2019,"5,58",6,21.0,5
2019,"5,66",7,21.0,5
2019,"5,77",8,21.0,5
2019,"5,61",9,21.0,5
2019,"5,62",10,21.0,5
2019,"5,73",11,21.0,5
2019,"5,62",12,21.0,5
2020,"5,76",1,21.0,5
2020,"5,88",2,21.0,5
2020,"6,09",3,21.0,5
2020,"6,75",4,21.0,5
2020,"7,24",5,21.0,5
2020,"7,26",6,21.0,5
2020,"7,43",7,21.0,5
2020,"7,55",8,21.0,5
2020,"7,34",9,21.0,5
2020,"7,53",10,21.0,5
2020,"7,51",11,21.0,5
2020,"7,46",12,21.0,5
2021,"7,6",1,21.0,5
2021,"7,81",2,21.0,5
2021,"7,65",3,21.0,5
2021,"7,55",4,21.0,5
2021,"7,22",5,21.0,5
2021,"7,19",6,21.0,5
2021,"6,95",7,21.0,5
2021,7,8,21.0,5
2021,"6,83",9,21.0,5
2021,"6,61",10,21.0,5
2021,"6,45",11,21.0,5
2021,"6,04",12,21.0,5
2022,"5,82",1,21.0,5
2022,"5,47",2,21.0,5
2022,"5,52",3,21.0,5
2022,"5,46",4,21.0,5
2022,"5,27",5,21.0,5
2022,"5,18",6,21.0,5
2022,"5,2",7,21.0,5
2022,"5,23",8,21.0,5
2022,"5,19",9,21.0,5
2022,"5,04",10,21.0,5
2022,"5,03",11,21.0,5
2022,"4,87",12,21.0,5
2023,"5,02",1,21.0,5
2023,"5,03",2,21.0,5
2023,"5,06",3,21.0,5
2023,"4,94",4,21.0,5
2023,"4,85",5,21.0,5
2023,"4,84",6,21.0,5
2023,"4,93",7,21.0,5
2023,"4,85",8,21.0,5
2023,"4,79",9,21.0,5
2023,"4,86",10,21.0,5
2023,"4,73",11,21.0,5
2023,"4,59",12,21.0,5
2024,"4,65",1,21.0,5
2024,"4,64",2,21.0,5
2024,"4,65",3,21.0,5
2024,"4,51",4,21.0,5
2024,"4,37",5,21.0,5
2024,"4,31",6,21.0,5
2024,"4,37",7,21.0,5
2024,"4,38",8,21.0,5
2024,"4,42",9,21.0,5
2024,"4,43",10,21.0,5
2024,"4,4",11,21.0,5
2024,"4,79",12,21.0,5
2025,"4,75",1,21.0,5
2025,"4,89",2,21.0,5
2025,"4,4",3,21.0,5
2025,"4,5",4,21.0,5
2025,"4,51",5,21.0,5
2025,"4,44",6,21.0,5
2025,"4,6",7,21.0,5
2025,"4,67",8,21.0,5
2025,"4,64",9,21.0,5
2025,"4,62",10,21.0,5
2025,"4,64",11,21.0,5
2025,"4,6",12,21.0,5
2026,"4,64",1,21.0,5
2026,"4,54",2,21.0,5
2015,"11,24",1,,5
2015,"11,3",2,,5
2015,"11,24",3,,5
2015,"10,97",4,,5
2015,"10,62",5,,5
2015,"10,33",6,,5
2015,"10,25",7,,5
2015,"10,39",8,,5
2015,"10,35",9,,5
2015,"10,4",10,,5
2015,"10,27",11,,5
2015,"10,07",12,,5
2016,"10,23",1,,5
2016,"10,27",2,,5
2016,"10,22",3,,5
2016,"10,02",4,,5
2016,"9,72",5,,5
2016,"9,56",6,,5
2016,"9,46",7,,5
2016,"9,57",8,,5
2016,"9,46",9,,5
2016,"9,46",10,,5
2016,"9,34",11,,5
2016,"9,09",12,,5
2017,"9,29",1,,5
2017,"9,35",2,,5
2017,"9,2",3,,5
2017,"8,95",4,,5
2017,"8,74",5,,5
2017,"8,6",6,,5
2017,"8,63",7,,5
2017,"8,74",8,,5
2017,"8,7",9,,5
2017,"8,7",10,,5
2017,"8,48",11,,5
2017,"8,28",12,,5
2018,"8,53",1,,5
2018,"8,57",2,,5
2018,"8,48",3,,5
2018,"8,3",4,,5
2018,"8,05",5,,5
2018,"7,85",6,,5
2018,"7,85",7,,5
2018,"7,91",8,,5
2018,"7,87",9,,5
2018,"7,81",10,,5
2018,"7,67",11,,5
2018,"7,48",12,,5
2019,"7,73",1,,5
2019,"7,82",2,,5
2019,"7,8",3,,5
2019,"7,66",4,,5
2019,"7,48",5,,5
2019,"7,35",6,,5
2019,"7,37",7,,5
2019,"7,49",8,,5
2019,"7,43",9,,5
2019,"7,52",10,,5
2019,"7,45",11,,5
2019,"7,3",12,,5
2020,"7,54",1,,5
2020,"7,57",2,,5
2020,"7,8",3,,5
2020,"8,74",4,,5
2020,"9,14",5,,5
2020,"9,16",6,,5
2020,"9,37",7,,5
2020,"9,5",8,,5
2020,"9,36",9,,5
2020,"9,51",10,,5
2020,"9,51",11,,5
2020,"9,54",12,,5
2021,"9,71",1,,5
2021,"9,87",2,,5
2021,"9,83",3,,5
2021,"9,72",4,,5
2021,"9,48",5,,5
2021,"9,29",6,,5
2021,"9,14",7,,5
2021,"9,17",8,,5
2021,"8,95",9,,5
2021,"8,71",10,,5
2021,"8,51",11,,5
2021,"7,91",12,,5
2022,"7,74",1,,5
2022,"7,33",2,,5
2022,"7,28",3,,5
2022,"7,01",4,,5
2022,"6,68",5,,5
2022,"6,5",6,,5
2022,"6,56",7,,5
2022,"6,6",8,,5
2022,"6,6",9,,5
2022,"6,57",10,,5
2022,"6,42",11,,5
2022,"6,33",12,,5
2023,"6,56",1,,5
2023,"6,67",2,,5
2023,"6,72",3,,5
2023,"6,59",4,,5
2023,"6,38",5,,5
2023,"6,32",6,,5
2023,"6,2",7,,5
2023,"6,23",8,,5
2023,"6,26",9,,5
2023,"6,23",10,,5
2023,"6,13",11,,5
2023,"6,02",12,,5
2024,"6,23",1,,5
2024,"6,22",2,,5
2024,"6,24",3,,5
2024,"6,07",4,,5
2024,"5,94",5,,5
2024,"5,84",6,,5
2024,"5,83",7,,5
2024,"5,87",8,,5
2024,"5,87",9,,5
2024,"5,85",10,,5
2024,"5,76",11,,5
2024,"5,68",12,,5
2025,"5,75",1,,5
2025,"5,84",2,,5
2025,"5,89",3,,5
2025,"5,82",4,,5
2025,"5,69",5,,5
2025,"5,57",6,,5
2025,"5,59",7,,5
2025,"5,7",8,,5
2025,"5,66",9,,5
2025,"5,71",10,,5
2025,"5,64",11,,5
2025,"5,61",12,,5
