unitID,unitName
17,poblacion
16,porcentaje de poblacion de menos de 16 años
15,porcentaje de poblacion nacida en el extranjero
14,afiliaciones de residentes sobre la poblacion de 16 a 64 años (%)
13,porcentaje de poblacion de nacionalidad extranjera
12,afiliaciones por lugar de trabajo al regimen general sobre poblacion de 16 a 64 años (%)
11,afiliaciones de residentes a la seguridad social
10,indice de sobreenvejecimiento
9,renta neta media por hogar ()
8,afiliaciones a la seguridad social por lugar de trabajo
7,parados registrados
6,afiliaciones por lugar de trabajo al regimen especial de trabajadores autonomos
5,tasa de paro (%) (parados sobre la poblacion de 16 a 64)
4,indice de feminidad
3,porcentaje de poblacion de 16 a 64 años
2,autonomos por lugar de trabajo sobre la poblacion de 16 a 64 años (%)
1,porcentaje de poblacion de 65 y mas años
