year,value,monthID,districtID,unitID
2010,29288,0,16,10
2011,30335,0,16,10
2012,28508,0,16,10
2013,28644,0,16,10
2014,26555,0,16,10
2015,28901,0,16,10
2016,28891,0,16,10
2017,29784,0,16,10
2018,30650,0,16,10
2019,34441,0,16,10
2020,34920,0,16,10
2021,33394,0,16,10
2022,33870,0,16,10
2023,34473,0,16,10
2010,4789,0,20,10
2011,5111,0,20,10
2012,4725,0,20,10
2013,5203,0,20,10
2014,5933,0,20,10
2015,6453,0,20,10
2016,7015,0,20,10
2017,7098,0,20,10
2018,7312,0,20,10
2019,8798,0,20,10
2020,9717,0,20,10
2021,9913,0,20,10
2022,11068,0,20,10
2023,11981,0,20,10
2010,75277,0,8,10
2011,79878,0,8,10
2012,82245,0,8,10
2013,85391,0,8,10
2014,84424,0,8,10
2015,89381,0,8,10
2016,90946,0,8,10
2017,92536,0,8,10
2018,93075,0,8,10
2019,98191,0,8,10
2020,101984,0,8,10
2021,99508,0,8,10
2022,102232,0,8,10
2023,98689,0,8,10
2010,173578,0,3,10
2011,182584,0,3,10
2012,178850,0,3,10
2013,178151,0,3,10
2014,174743,0,3,10
2015,157016,0,3,10
2016,150481,0,3,10
2017,154821,0,3,10
2018,158458,0,3,10
2019,163918,0,3,10
2020,188064,0,3,10
2021,189942,0,3,10
2022,193319,0,3,10
2023,199689,0,3,10
2010,41906,0,15,10
2011,43767,0,15,10
2012,43663,0,15,10
2013,45643,0,15,10
2014,41854,0,15,10
2015,41663,0,15,10
2016,43301,0,15,10
2017,42621,0,15,10
2018,44659,0,15,10
2019,45742,0,15,10
2020,47407,0,15,10
2021,46436,0,15,10
2022,51079,0,15,10
2023,38757,0,15,10
2010,104940,0,9,10
2011,96847,0,9,10
2012,102829,0,9,10
2013,102879,0,9,10
2014,100281,0,9,10
2015,105174,0,9,10
2016,122133,0,9,10
2017,123465,0,9,10
2018,138800,0,9,10
2019,159845,0,9,10
2020,169157,0,9,10
2021,165428,0,9,10
2022,180625,0,9,10
2023,200827,0,9,10
2010,23707,0,5,10
2011,26534,0,5,10
2012,25399,0,5,10
2013,26861,0,5,10
2014,27903,0,5,10
2015,28699,0,5,10
2016,29194,0,5,10
2017,30154,0,5,10
2018,29516,0,5,10
2019,32700,0,5,10
2020,32836,0,5,10
2021,30763,0,5,10
2022,32584,0,5,10
2023,33902,0,5,10
2010,160902,0,1,10
2011,162230,0,1,10
2012,149574,0,1,10
2013,142415,0,1,10
2014,141493,0,1,10
2015,141679,0,1,10
2016,139968,0,1,10
2017,139414,0,1,10
2018,139696,0,1,10
2019,149351,0,1,10
2020,153110,0,1,10
2021,138787,0,1,10
2022,147254,0,1,10
2023,154317,0,1,10
2010,39470,0,21,10
2011,41663,0,21,10
2012,42418,0,21,10
2013,40112,0,21,10
2014,40032,0,21,10
2015,40393,0,21,10
2016,47501,0,21,10
2017,48856,0,21,10
2018,49014,0,21,10
2019,51887,0,21,10
2020,52661,0,21,10
2021,51880,0,21,10
2022,42582,0,21,10
2023,44797,0,21,10
2010,57722,0,10,10
2011,65358,0,10,10
2012,67522,0,10,10
2013,74881,0,10,10
2014,73806,0,10,10
2015,75203,0,10,10
2016,77167,0,10,10
2017,77820,0,10,10
2018,82540,0,10,10
2019,89188,0,10,10
2020,93688,0,10,10
2021,94328,0,10,10
2022,101118,0,10,10
2023,113457,0,10,10
2010,20481,0,19,10
2011,23263,0,19,10
2012,21871,0,19,10
2013,20546,0,19,10
2014,21191,0,19,10
2015,22402,0,19,10
2016,23453,0,19,10
2017,23373,0,19,10
2018,28441,0,19,10
2019,32735,0,19,10
2020,30908,0,19,10
2021,24170,0,19,10
2022,24945,0,19,10
2023,28379,0,19,10
2010,131192,0,6,10
2011,128003,0,6,10
2012,123552,0,6,10
2013,129384,0,6,10
2014,126210,0,6,10
2015,123092,0,6,10
2016,127329,0,6,10
2017,133779,0,6,10
2018,132944,0,6,10
2019,140766,0,6,10
2020,148801,0,6,10
2021,144662,0,6,10
2022,153547,0,6,10
2023,169250,0,6,10
2010,81135,0,7,10
2011,78453,0,7,10
2012,76551,0,7,10
2013,80422,0,7,10
2014,83151,0,7,10
2015,86193,0,7,10
2016,86693,0,7,10
2017,88079,0,7,10
2018,87638,0,7,10
2019,90672,0,7,10
2020,90298,0,7,10
2021,87543,0,7,10
2022,90396,0,7,10
2023,94086,0,7,10
2010,8081,0,17,10
2011,8222,0,17,10
2012,7718,0,17,10
2013,9570,0,17,10
2014,10114,0,17,10
2015,11117,0,17,10
2016,11604,0,17,10
2017,11871,0,17,10
2018,11889,0,17,10
2019,12555,0,17,10
2020,12887,0,17,10
2021,12233,0,17,10
2022,12515,0,17,10
2023,12961,0,17,10
2010,85173,0,11,10
2011,93254,0,11,10
2012,93322,0,11,10
2013,93636,0,11,10
2014,96150,0,11,10
2015,102582,0,11,10
2016,101338,0,11,10
2017,105799,0,11,10
2018,109905,0,11,10
2019,111392,0,11,10
2020,116340,0,11,10
2021,118176,0,11,10
2022,120451,0,11,10
2023,140143,0,11,10
2010,14706,0,18,10
2011,15288,0,18,10
2012,14847,0,18,10
2013,20430,0,18,10
2014,20877,0,18,10
2015,24371,0,18,10
2016,27887,0,18,10
2017,28685,0,18,10
2018,30117,0,18,10
2019,34440,0,18,10
2020,36079,0,18,10
2021,37520,0,18,10
2022,41604,0,18,10
2023,44588,0,18,10
2010,71169,0,4,10
2011,80847,0,4,10
2012,78994,0,4,10
2013,78116,0,4,10
2014,77139,0,4,10
2015,89467,0,4,10
2016,91646,0,4,10
2017,98005,0,4,10
2018,101026,0,4,10
2019,107071,0,4,10
2020,114352,0,4,10
2021,108682,0,4,10
2022,110971,0,4,10
2023,117105,0,4,10
2010,34404,0,14,10
2011,35225,0,14,10
2012,32047,0,14,10
2013,32394,0,14,10
2014,32012,0,14,10
2015,34134,0,14,10
2016,36290,0,14,10
2017,37456,0,14,10
2018,36570,0,14,10
2019,41392,0,14,10
2020,41293,0,14,10
2021,39994,0,14,10
2022,40977,0,14,10
2023,43492,0,14,10
