year,value,monthID,districtID,unitID
2010,6277,0,16,15
2011,6333,0,16,15
2012,5713,0,16,15
2013,5808,0,16,15
2014,6249,0,16,15
2015,6365,0,16,15
2016,6404,0,16,15
2017,6909,0,16,15
2018,5723,0,16,15
2019,7742,0,16,15
2020,8270,0,16,15
2021,8036,0,16,15
2022,7835,0,16,15
2023,8015,0,16,15
2010,1496,0,20,15
2011,1447,0,20,15
2012,1268,0,20,15
2013,1374,0,20,15
2014,1507,0,20,15
2015,1545,0,20,15
2016,1625,0,20,15
2017,1717,0,20,15
2018,1595,0,20,15
2019,2034,0,20,15
2020,2141,0,20,15
2021,2080,0,20,15
2022,2110,0,20,15
2023,2246,0,20,15
2010,5007,0,8,15
2011,5231,0,8,15
2012,4567,0,8,15
2013,4828,0,8,15
2014,5333,0,8,15
2015,5705,0,8,15
2016,5713,0,8,15
2017,6135,0,8,15
2018,4783,0,8,15
2019,6820,0,8,15
2020,7089,0,8,15
2021,6843,0,8,15
2022,6764,0,8,15
2023,6882,0,8,15
2010,9470,0,3,15
2011,9460,0,3,15
2012,8267,0,3,15
2013,8516,0,3,15
2014,9317,0,3,15
2015,9419,0,3,15
2016,9312,0,3,15
2017,10007,0,3,15
2018,8204,0,3,15
2019,11013,0,3,15
2020,11316,0,3,15
2021,11026,0,3,15
2022,10980,0,3,15
2023,11152,0,3,15
2010,3652,0,15,15
2011,3705,0,15,15
2012,3225,0,15,15
2013,3359,0,15,15
2014,3668,0,15,15
2015,3773,0,15,15
2016,3900,0,15,15
2017,4360,0,15,15
2018,3735,0,15,15
2019,5037,0,15,15
2020,5346,0,15,15
2021,5214,0,15,15
2022,5226,0,15,15
2023,5467,0,15,15
2010,8532,0,9,15
2011,8640,0,9,15
2012,7472,0,9,15
2013,7694,0,9,15
2014,8448,0,9,15
2015,8745,0,9,15
2016,8548,0,9,15
2017,9198,0,9,15
2018,6920,0,9,15
2019,9924,0,9,15
2020,10246,0,9,15
2021,9930,0,9,15
2022,9810,0,9,15
2023,9963,0,9,15
2010,7144,0,5,15
2011,7153,0,5,15
2012,6181,0,5,15
2013,6530,0,5,15
2014,7201,0,5,15
2015,7384,0,5,15
2016,7557,0,5,15
2017,8098,0,5,15
2018,6719,0,5,15
2019,8913,0,5,15
2020,9171,0,5,15
2021,8779,0,5,15
2022,8543,0,5,15
2023,8662,0,5,15
2010,13014,0,1,15
2011,13021,0,1,15
2012,10911,0,1,15
2013,11533,0,1,15
2014,13182,0,1,15
2015,13798,0,1,15
2016,13656,0,1,15
2017,14911,0,1,15
2018,10714,0,1,15
2019,16217,0,1,15
2020,16771,0,1,15
2021,16172,0,1,15
2022,16076,0,1,15
2023,16160,0,1,15
2010,1612,0,21,15
2011,1629,0,21,15
2012,1449,0,21,15
2013,1526,0,21,15
2014,1706,0,21,15
2015,1787,0,21,15
2016,1803,0,21,15
2017,1941,0,21,15
2018,1390,0,21,15
2019,2207,0,21,15
2020,2404,0,21,15
2021,2458,0,21,15
2022,2592,0,21,15
2023,2639,0,21,15
2010,5822,0,10,15
2011,5856,0,10,15
2012,5193,0,10,15
2013,5372,0,10,15
2014,6027,0,10,15
2015,6445,0,10,15
2016,6573,0,10,15
2017,7023,0,10,15
2018,5561,0,10,15
2019,7935,0,10,15
2020,8340,0,10,15
2021,8019,0,10,15
2022,7885,0,10,15
2023,8172,0,10,15
2010,3896,0,19,15
2011,3787,0,19,15
2012,3298,0,19,15
2013,3415,0,19,15
2014,3669,0,19,15
2015,3888,0,19,15
2016,4047,0,19,15
2017,4273,0,19,15
