year,value,monthID,districtID,unitID
2005,"106,6",0,16.0,7
2006,"106,5",0,16.0,7
2007,"106,7",0,16.0,7
2008,"106,5",0,16.0,7
2009,"106,5",0,16.0,7
2010,"107,3",0,16.0,7
2011,"108,1",0,16.0,7
2012,"109,1",0,16.0,7
2013,"109,6",0,16.0,7
2014,"110,2",0,16.0,7
2015,"110,6",0,16.0,7
2016,"110,8",0,16.0,7
2017,"110,9",0,16.0,7
2018,"111,4",0,16.0,7
2019,"111,2",0,16.0,7
2020,"110,9",0,16.0,7
2021,"110,9",0,16.0,7
2022,"110,9",0,16.0,7
2023,"110,9",0,16.0,7
2024,"109,9",0,16.0,7
2025,109,0,16.0,7
2005,"112,8",0,,7
2006,"112,5",0,,7
2007,"112,6",0,,7
2008,"112,4",0,,7
2009,"112,3",0,,7
2010,"112,7",0,,7
2011,"113,3",0,,7
2012,114,0,,7
2013,"114,5",0,,7
2014,"114,8",0,,7
2015,115,0,,7
2016,"114,9",0,,7
2017,"114,8",0,,7
2018,"114,7",0,,7
2019,"114,7",0,,7
2020,"114,5",0,,7
2021,"114,4",0,,7
2022,"114,1",0,,7
2023,"114,1",0,,7
2024,"113,5",0,,7
2025,"113,1",0,,7
2005,"101,5",0,20.0,7
2006,"101,5",0,20.0,7
2007,"101,8",0,20.0,7
2008,"101,7",0,20.0,7
2009,"101,5",0,20.0,7
2010,"101,4",0,20.0,7
2011,"102,5",0,20.0,7
2012,"103,3",0,20.0,7
2013,"104,6",0,20.0,7
2014,"105,3",0,20.0,7
2015,"105,6",0,20.0,7
2016,"105,6",0,20.0,7
2017,"105,8",0,20.0,7
2018,"105,9",0,20.0,7
2019,107,0,20.0,7
2020,"106,9",0,20.0,7
2021,"106,8",0,20.0,7
2022,"106,4",0,20.0,7
2023,"106,5",0,20.0,7
2024,"106,4",0,20.0,7
2025,"106,3",0,20.0,7
2005,120,0,8.0,7
2006,"119,8",0,8.0,7
2007,"119,9",0,8.0,7
2008,120,0,8.0,7
2009,"120,5",0,8.0,7
2010,"120,6",0,8.0,7
2011,"120,7",0,8.0,7
2012,"121,2",0,8.0,7
2013,"121,6",0,8.0,7
2014,"121,5",0,8.0,7
2015,"121,4",0,8.0,7
2016,"121,3",0,8.0,7
2017,121,0,8.0,7
2018,121,0,8.0,7
2019,"120,7",0,8.0,7
2020,"120,9",0,8.0,7
2021,"120,4",0,8.0,7
2022,"120,2",0,8.0,7
2023,"120,6",0,8.0,7
2024,"120,4",0,8.0,7
2025,"120,3",0,8.0,7
2005,"123,6",0,3.0,7
2006,"123,8",0,3.0,7
2007,"122,7",0,3.0,7
2008,"122,6",0,3.0,7
2009,"122,3",0,3.0,7
2010,"122,6",0,3.0,7
2011,"122,6",0,3.0,7
2012,"123,2",0,3.0,7
2013,"122,8",0,3.0,7
2014,"123,2",0,3.0,7
2015,"123,4",0,3.0,7
2016,"123,1",0,3.0,7
2017,"122,5",0,3.0,7
2018,"122,4",0,3.0,7
2019,"122,5",0,3.0,7
2020,"122,1",0,3.0,7
2021,"122,1",0,3.0,7
2022,"121,8",0,3.0,7
2023,"121,9",0,3.0,7
2024,"121,5",0,3.0,7
2025,"120,7",0,3.0,7
2005,104,0,15.0,7
2006,"103,3",0,15.0,7
2007,"103,2",0,15.0,7
2008,"102,6",0,15.0,7
2009,"102,6",0,15.0,7
2010,"103,2",0,15.0,7
2011,"104,3",0,15.0,7
2012,"105,5",0,15.0,7
2013,"106,6",0,15.0,7
2014,"107,6",0,15.0,7
2015,"108,2",0,15.0,7
2016,"108,2",0,15.0,7
2017,"108,9",0,15.0,7
2018,"109,2",0,15.0,7
2019,"109,6",0,15.0,7
2020,"109,6",0,15.0,7
2021,"109,3",0,15.0,7
2022,109,0,15.0,7
2023,"108,9",0,15.0,7
2024,"108,5",0,15.0,7
2025,"107,9",0,15.0,7
2005,"119,7",0,9.0,7
2006,"119,4",0,9.0,7
2007,"119,4",0,9.0,7
2008,"119,2",0,9.0,7
2009,"118,8",0,9.0,7
2010,"119,1",0,9.0,7
2011,"119,8",0,9.0,7
2012,"120,4",0,9.0,7
2013,"120,3",0,9.0,7
2014,"120,5",0,9.0,7
2015,"121,1",0,9.0,7
2016,"120,5",0,9.0,7
2017,"120,7",0,9.0,7
2018,"120,5",0,9.0,7
2019,"120,5",0,9.0,7
2020,"119,9",0,9.0,7
2021,"119,7",0,9.0,7
2022,"119,8",0,9.0,7
2023,"119,4",0,9.0,7
2024,"118,5",0,9.0,7
2025,118,0,9.0,7
2005,"109,8",0,5.0,7
2006,"109,5",0,5.0,7
2007,"109,6",0,5.0,7
2008,"109,2",0,5.0,7
2009,"109,4",0,5.0,7
2010,"110,1",0,5.0,7
2011,"111,3",0,5.0,7
2012,"112,4",0,5.0,7
2013,"113,4",0,5.0,7
2014,"114,2",0,5.0,7
2015,"114,5",0,5.0,7
2016,115,0,5.0,7
2017,"115,3",0,5.0,7
2018,"115,5",0,5.0,7
2019,"115,7",0,5.0,7
2020,"115,7",0,5.0,7
2021,"115,9",0,5.0,7
2022,"115,6",0,5.0,7
2023,"115,6",0,5.0,7
2024,115,0,5.0,7
2025,115,0,5.0,7
2005,"106,8",0,1.0,7
2006,"104,7",0,1.0,7
2007,105,0,1.0,7
2008,104,0,1.0,7
2009,"102,4",0,1.0,7
2010,"101,7",0,1.0,7
2011,"101,8",0,1.0,7
2012,"102,5",0,1.0,7
2013,"102,3",0,1.0,7
2014,"102,9",0,1.0,7
2015,"102,9",0,1.0,7
2016,"101,9",0,1.0,7
