year,value,monthID,districtID,unitID
2012,25268,12,16,17
2013,26084,1,16,17
2013,26638,2,16,17
2013,26510,3,16,17
2013,26573,4,16,17
2013,26061,5,16,17
2013,25826,6,16,17
2013,25400,7,16,17
2013,25399,8,16,17
2013,25860,9,16,17
2013,26242,10,16,17
2013,26117,11,16,17
2013,25288,12,16,17
2014,25743,1,16,17
2014,26036,2,16,17
2014,25940,3,16,17
2014,25596,4,16,17
2014,24923,5,16,17
2014,24213,6,16,17
2014,24104,7,16,17
2014,24163,8,16,17
2014,24546,9,16,17
2014,24717,10,16,17
2014,24602,11,16,17
2014,24025,12,16,17
2015,24421,1,16,17
2015,24628,2,16,17
2015,24556,3,16,17
2015,23974,4,16,17
2015,23292,5,16,17
2015,22746,6,16,17
2015,22377,7,16,17
2015,22450,8,16,17
2015,22674,9,16,17
2015,22987,10,16,17
2015,22863,11,16,17
2015,22303,12,16,17
2016,22737,1,16,17
2016,22894,2,16,17
2016,22742,3,16,17
2016,22276,4,16,17
2016,21705,5,16,17
2016,21403,6,16,17
2016,20911,7,16,17
2016,20921,8,16,17
2016,20977,9,16,17
2016,20956,10,16,17
2016,20650,11,16,17
2016,20089,12,16,17
2017,20476,1,16,17
2017,20775,2,16,17
2017,20531,3,16,17
2017,19932,4,16,17
2017,19406,5,16,17
2017,19359,6,16,17
2017,19266,7,16,17
2017,19447,8,16,17
2017,19575,9,16,17
2017,19735,10,16,17
2017,19380,11,16,17
2017,18699,12,16,17
2018,19398,1,16,17
2018,19585,2,16,17
2018,19475,3,16,17
2018,18951,4,16,17
2018,18513,5,16,17
2018,18166,6,16,17
2018,17959,7,16,17
2018,17980,8,16,17
2018,18024,9,16,17
2018,18105,10,16,17
2018,17887,11,16,17
2018,17488,12,16,17
2019,18101,1,16,17
2019,18315,2,16,17
2019,18350,3,16,17
2019,18143,4,16,17
2019,17726,5,16,17
2019,17353,6,16,17
2019,17787,7,16,17
2019,17409,8,16,17
2019,17215,9,16,17
2019,17339,10,16,17
2019,17246,11,16,17
2019,16851,12,16,17
2020,17537,1,16,17
2020,17806,2,16,17
2020,18279,3,16,17
2020,20083,4,16,17
