year,value,monthID,districtID,unitID
2005,"18,25",0,16.0,1
2006,"18,27",0,16.0,1
2007,"18,06",0,16.0,1
2008,"17,66",0,16.0,1
2009,"17,53",0,16.0,1
2010,"17,69",0,16.0,1
2011,"17,86",0,16.0,1
2012,"18,04",0,16.0,1
2013,"18,31",0,16.0,1
2014,"18,68",0,16.0,1
2015,"18,82",0,16.0,1
2016,"18,6",0,16.0,1
2017,"18,43",0,16.0,1
2018,"18,21",0,16.0,1
2019,"17,86",0,16.0,1
2020,"17,55",0,16.0,1
2021,"17,45",0,16.0,1
2022,"17,76",0,16.0,1
2023,"17,59",0,16.0,1
2024,"17,3",0,16.0,1
2025,"17,37",0,16.0,1
2005,"18,62",0,,1
2006,"18,74",0,,1
2007,"18,76",0,,1
2008,"18,58",0,,1
2009,"18,58",0,,1
2010,"18,77",0,,1
2011,"19,04",0,,1
2012,"19,36",0,,1
2013,"19,67",0,,1
2014,"20,18",0,,1
2015,"20,49",0,,1
2016,"20,46",0,,1
2017,"20,46",0,,1
2018,"20,39",0,,1
2019,"20,26",0,,1
2020,"20,06",0,,1
2021,"20,03",0,,1
2022,"20,28",0,,1
2023,"20,2",0,,1
2024,"19,97",0,,1
2025,"20,01",0,,1
2005,"11,95",0,20.0,1
2006,"12,25",0,20.0,1
2007,"12,44",0,20.0,1
2008,"12,38",0,20.0,1
2009,"12,63",0,20.0,1
2010,"12,86",0,20.0,1
2011,"13,15",0,20.0,1
2012,"13,44",0,20.0,1
2013,"13,76",0,20.0,1
2014,"14,07",0,20.0,1
2015,"14,35",0,20.0,1
2016,"14,48",0,20.0,1
2017,"14,56",0,20.0,1
2018,"14,55",0,20.0,1
2019,"14,45",0,20.0,1
2020,"14,37",0,20.0,1
2021,"14,08",0,20.0,1
2022,"13,62",0,20.0,1
2023,"13,43",0,20.0,1
2024,"13,2",0,20.0,1
2025,"13,17",0,20.0,1
2005,"19,94",0,8.0,1
2006,"20,35",0,8.0,1
2007,"20,66",0,8.0,1
2008,"20,97",0,8.0,1
2009,"21,31",0,8.0,1
2010,"21,82",0,8.0,1
2011,"22,31",0,8.0,1
2012,"22,81",0,8.0,1
2013,"23,43",0,8.0,1
2014,"24,11",0,8.0,1
2015,"24,64",0,8.0,1
2016,"24,87",0,8.0,1
2017,"25,26",0,8.0,1
2018,"25,52",0,8.0,1
2019,"25,76",0,8.0,1
2020,"25,93",0,8.0,1
2021,"26,21",0,8.0,1
2022,"26,57",0,8.0,1
2023,"26,82",0,8.0,1
2024,"26,81",0,8.0,1
2025,"26,99",0,8.0,1
2005,"20,24",0,3.0,1
2006,"20,57",0,3.0,1
2007,"20,49",0,3.0,1
2008,"20,61",0,3.0,1
2009,"20,71",0,3.0,1
2010,"21,06",0,3.0,1
2011,"21,38",0,3.0,1
2012,"21,71",0,3.0,1
2013,"22,04",0,3.0,1
2014,"22,59",0,3.0,1
2015,"23,09",0,3.0,1
2016,"23,09",0,3.0,1
2017,"23,16",0,3.0,1
2018,"23,16",0,3.0,1
2019,"23,28",0,3.0,1
2020,"23,34",0,3.0,1
2021,"23,42",0,3.0,1
2022,"23,75",0,3.0,1
2023,"23,91",0,3.0,1
2024,"23,75",0,3.0,1
2025,"23,78",0,3.0,1
2005,"16,83",0,15.0,1
2006,"16,81",0,15.0,1
2007,"16,77",0,15.0,1
2008,"16,56",0,15.0,1
2009,"16,56",0,15.0,1
2010,"16,8",0,15.0,1
2011,"17,07",0,15.0,1
2012,"17,39",0,15.0,1
2013,"17,73",0,15.0,1
2014,"18,13",0,15.0,1
2015,"18,34",0,15.0,1
2016,"18,15",0,15.0,1
2017,"18,08",0,15.0,1
2018,"17,79",0,15.0,1
2019,"17,4",0,15.0,1
2020,"16,89",0,15.0,1
2021,"16,64",0,15.0,1
2022,"16,68",0,15.0,1
2023,"16,35",0,15.0,1
2024,"16,01",0,15.0,1
