year,value,monthID,districtID,unitID
2005,"15,8",0,16.0,5
2006,"17,7",0,16.0,5
2007,19,0,16.0,5
2008,"21,1",0,16.0,5
2009,"22,6",0,16.0,5
2010,23,0,16.0,5
2011,"23,2",0,16.0,5
2012,23,0,16.0,5
2013,"22,6",0,16.0,5
2014,"22,2",0,16.0,5
2015,"22,2",0,16.0,5
2016,23,0,16.0,5
2017,"23,8",0,16.0,5
2018,"25,39",0,16.0,5
2019,"27,3",0,16.0,5
2020,"29,58",0,16.0,5
2021,"30,58",0,16.0,5
2022,"30,85",0,16.0,5
2023,"33,39",0,16.0,5
2024,"36,57",0,16.0,5
2025,"38,62",0,16.0,5
2005,"16,3",0,,5
2006,"17,9",0,,5
2007,"18,4",0,,5
2008,"19,8",0,,5
2009,"20,8",0,,5
2010,"21,1",0,,5
2011,"21,1",0,,5
2012,"20,4",0,,5
2013,"20,2",0,,5
2014,"19,5",0,,5
2015,"19,3",0,,5
2016,"19,7",0,,5
2017,"20,1",0,,5
2018,"21,03",0,,5
2019,"22,16",0,,5
2020,"23,61",0,,5
2021,"24,32",0,,5
2022,"24,62",0,,5
2023,"26,3",0,,5
2024,"28,76",0,,5
2025,"30,22",0,,5
2005,"13,3",0,20.0,5
2006,"14,9",0,20.0,5
2007,"16,1",0,20.0,5
2008,18,0,20.0,5
2009,"18,8",0,20.0,5
2010,"19,3",0,20.0,5
2011,"19,2",0,20.0,5
2012,"18,2",0,20.0,5
2013,"17,7",0,20.0,5
2014,"16,8",0,20.0,5
2015,"16,4",0,20.0,5
2016,"16,5",0,20.0,5
2017,"16,5",0,20.0,5
2018,"17,04",0,20.0,5
2019,"17,96",0,20.0,5
2020,"19,02",0,20.0,5
2021,"19,61",0,20.0,5
2022,"20,06",0,20.0,5
2023,"21,53",0,20.0,5
2024,"24,04",0,20.0,5
2025,"25,39",0,20.0,5
2005,"11,4",0,8.0,5
2006,"12,2",0,8.0,5
2007,"11,9",0,8.0,5
2008,"12,6",0,8.0,5
2009,"13,2",0,8.0,5
2010,"13,2",0,8.0,5
2011,"13,2",0,8.0,5
2012,"12,6",0,8.0,5
2013,"12,4",0,8.0,5
2014,"11,9",0,8.0,5
2015,"11,8",0,8.0,5
2016,"11,9",0,8.0,5
2017,12,0,8.0,5
2018,"12,34",0,8.0,5
2019,"13,05",0,8.0,5
2020,"14,01",0,8.0,5
2021,"14,41",0,8.0,5
2022,"14,84",0,8.0,5
2023,"15,88",0,8.0,5
2024,"17,57",0,8.0,5
2025,"18,69",0,8.0,5
2005,"14,5",0,3.0,5
2006,"15,6",0,3.0,5
2007,"15,4",0,3.0,5
2008,16,0,3.0,5
2009,"16,6",0,3.0,5
2010,"16,9",0,3.0,5
2011,17,0,3.0,5
2012,"16,3",0,3.0,5
2013,"16,2",0,3.0,5
2014,"15,6",0,3.0,5
2015,"15,2",0,3.0,5
2016,"15,4",0,3.0,5
2017,"15,4",0,3.0,5
2018,"15,68",0,3.0,5
2019,"16,13",0,3.0,5
2020,"16,81",0,3.0,5
2021,"17,21",0,3.0,5
2022,"17,34",0,3.0,5
2023,"18,31",0,3.0,5
2024,"20,05",0,3.0,5
2025,"21,07",0,3.0,5
2005,"18,7",0,15.0,5
