year,value,monthID,districtID,unitID
2013,"23577,11148234",0,16.0,8
2014,"23516,82",0,16.0,8
2015,"24688,0695824902",0,16.0,8
2016,25029,0,16.0,8
2017,25527,0,16.0,8
2018,26652,0,16.0,8
2019,27975,0,16.0,8
2020,27714,0,16.0,8
2021,28681,0,16.0,8
2022,30339,0,16.0,8
2013,"36591,6633285965",0,,8
2014,"37231,15",0,,8
2015,"38534,6170377993",0,,8
2016,39613,0,,8
2017,40195,0,,8
2018,42283,0,,8
2019,43393,0,,8
2020,43003,0,,8
2021,43953,0,,8
2022,46651,0,,8
2013,"29971,3885456651",0,20.0,8
2014,"30128,47",0,20.0,8
2015,"31465,850272117",0,20.0,8
2016,32152,0,20.0,8
2017,32713,0,20.0,8
2018,33870,0,20.0,8
2019,35510,0,20.0,8
2020,35589,0,20.0,8
2021,37141,0,20.0,8
2022,39505,0,20.0,8
2013,"48274,412351676",0,8.0,8
2014,"49979,54",0,8.0,8
2015,"51789,9960709971",0,8.0,8
2016,52963,0,8.0,8
2017,53111,0,8.0,8
2018,55775,0,8.0,8
2019,57027,0,8.0,8
2020,56302,0,8.0,8
2021,57448,0,8.0,8
2022,60762,0,8.0,8
2013,"59067,0875897621",0,3.0,8
2014,"60690,33",0,3.0,8
2015,"60947,8908972621",0,3.0,8
2016,65260,0,3.0,8
2017,65995,0,3.0,8
2018,70735,0,3.0,8
2019,69558,0,3.0,8
2020,69202,0,3.0,8
2021,69670,0,3.0,8
2022,74842,0,3.0,8
2013,"25295,8826568841",0,15.0,8
2014,"25379,34",0,15.0,8
2015,"26599,0045116095",0,15.0,8
2016,26915,0,15.0,8
2017,27392,0,15.0,8
2018,28407,0,15.0,8
2019,29873,0,15.0,8
2020,29640,0,15.0,8
2021,30673,0,15.0,8
2022,32527,0,15.0,8
2013,"32757,6750184344",0,9.0,8
2014,"33003,87",0,9.0,8
2015,"34700,3595668112",0,9.0,8
2016,35609,0,9.0,8
2017,36142,0,9.0,8
2018,37557,0,9.0,8
2019,39332,0,9.0,8
2020,38799,0,9.0,8
2021,39991,0,9.0,8
2022,42465,0,9.0,8
2013,"29114,7134405079",0,5.0,8
2014,"29073,5",0,5.0,8
2015,"30155,7425295723",0,5.0,8
2016,30490,0,5.0,8
2017,30847,0,5.0,8
2018,31872,0,5.0,8
2019,33237,0,5.0,8
2020,32957,0,5.0,8
2021,33790,0,5.0,8
2022,35669,0,5.0,8
2013,"28875,7547721699",0,1.0,8
2014,"28927,53",0,1.0,8
2015,"31377,8363600128",0,1.0,8
2016,32458,0,1.0,8
2017,33473,0,1.0,8
2018,36072,0,1.0,8
2019,38171,0,1.0,8
2020,36984,0,1.0,8
2021,38360,0,1.0,8
2022,41059,0,1.0,8
2013,"46269,4095292796",0,21.0,8
2014,"46154,23",0,21.0,8
2015,"46347,0082556842",0,21.0,8
2016,47389,0,21.0,8
2017,47782,0,21.0,8
2018,49615,0,21.0,8
2019,51108,0,21.0,8
2020,50985,0,21.0,8
2021,51400,0,21.0,8
2022,54343,0,21.0,8
2013,"45235,3150446124",0,10.0,8
2014,"45875,32",0,10.0,8
2015,"47110,2628870274",0,10.0,8
2016,48688,0,10.0,8
2017,49695,0,10.0,8
2018,52944,0,10.0,8
2019,53836,0,10.0,8
2020,52880,0,10.0,8
2021,54316,0,10.0,8
2022,57506,0,10.0,8
2013,"24480,6467897639",0,19.0,8
2014,"24256,21",0,19.0,8
2015,"25569,0023826602",0,19.0,8
2016,25954,0,19.0,8
2017,26501,0,19.0,8
2018,27674,0,19.0,8
2019,29061,0,19.0,8
2020,28770,0,19.0,8
2021,30023,0,19.0,8
2022,31996,0,19.0,8
2013,"37920,2385696237",0,7.0,8
2014,"38639,82",0,7.0,8
2015,"40200,6566542751",0,7.0,8
2016,41122,0,7.0,8
2017,42088,0,7.0,8
2018,43789,0,7.0,8
2019,45262,0,7.0,8
2020,45310,0,7.0,8
2021,46699,0,7.0,8
2022,49236,0,7.0,8
2013,"33826,3541089854",0,17.0,8
2014,"33808,31",0,17.0,8
2015,"34753,3310919634",0,17.0,8
2016,35059,0,17.0,8
2017,35514,0,17.0,8
2018,36755,0,17.0,8
2019,37951,0,17.0,8
2020,37890,0,17.0,8
2021,38421,0,17.0,8
2022,40325,0,17.0,8
2013,"28825,7317678678",0,18.0,8
2014,"28829,95",0,18.0,8
2015,"30169,5065902961",0,18.0,8
2016,30861,0,18.0,8
2017,31447,0,18.0,8
2018,32765,0,18.0,8
2019,34168,0,18.0,8
2020,34190,0,18.0,8
2021,35278,0,18.0,8
2022,36998,0,18.0,8
2013,"35531,5918465026",0,4.0,8
2014,"35885,1",0,4.0,8
2015,"36832,9262802329",0,4.0,8
2016,37421,0,4.0,8
2017,37621,0,4.0,8
2018,39425,0,4.0,8
2019,40948,0,4.0,8
2020,40532,0,4.0,8
2021,41311,0,4.0,8
2022,43738,0,4.0,8
2013,"26806,1906947091",0,14.0,8
2014,"26749,66",0,14.0,8
2015,"27935,7067471105",0,14.0,8
2016,28301,0,14.0,8
2017,28721,0,14.0,8
2018,29842,0,14.0,8
2019,31190,0,14.0,8
2020,30890,0,14.0,8
2021,32050,0,14.0,8
2022,33786,0,14.0,8
