unitID,unitName
17,parados registrados
16,afiliaciones de residentes sobre la poblacion de 16 a 64 años (%)
15,afiliaciones por lugar de trabajo al regimen especial de trabajadores autonomos
14,afiliaciones por lugar de trabajo al regimen general sobre poblacion de 16 a 64 años (%)
13,autonomos por lugar de trabajo sobre la poblacion de 16 a 64 años (%)
12,tasa de paro (%) (parados sobre la poblacion de 16 a 64)
11,porcentaje de poblacion de nacionalidad extranjera
10,afiliaciones a la seguridad social por lugar de trabajo
9,afiliaciones de residentes a la seguridad social
8,renta neta media por hogar ()
7,indice de feminidad
6,porcentaje de poblacion de menos de 16 años
5,porcentaje de poblacion nacida en el extranjero
4,indice de sobreenvejecimiento
3,porcentaje de poblacion de 16 a 64 años
2,poblacion
1,porcentaje de poblacion de 65 y mas años
