El municipio en cifras
Población
Año;Periodos;Centro;
1987;Anual;146302;
1988;Anual;146495;
1989;Anual;147331;
1990;Anual;147911;
1991;Anual;136125;
1992;Anual;136972;
1993;Anual;139703;
1994;Anual;140186;
1995;Anual;139010;
1996;Anual;122615;
1997;Anual;123878;
1998;Anual;125140;
1999;Anual;126061;
2000;Anual;126708;
2001;Anual;133809;
2002;Anual;139431;
2003;Anual;146443;
2004;Anual;150159;
2005;Anual;148714;
2006;Anual;149718;
2007;Anual;141396;
2008;Anual;142270;
2009;Anual;143674;
2010;Anual;143908;
2011;Anual;142876;
2012;Anual;139952;
2013;Anual;138400;
2014;Anual;134271;
2015;Anual;131106;
2016;Anual;132644;
2017;Anual;131928;
2018;Anual;132352;
2019;Anual;134881;
2020;Anual;140473;
2021;Anual;141236;
2022;Anual;139682;
2023;Anual;139687;
2024;Anual;145411;
2025;Anual;146349;
