El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Centro;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.015;2.704;3.719;42.053;92.109;134.162
2; 80 - 84;1.189;2.004;3.193;42.412;68.809;111.221
3; 75 - 79;1.716;2.403;4.119;53.602;80.108;133.710
4; 70 - 74;2.357;2.920;5.277;60.418;83.243;143.661
5; 65 - 69;3.232;3.744;6.976;80.493;102.569;183.062
6; 60 - 64;4.497;4.337;8.834;102.853;122.998;225.851
7; 55 - 59;5.230;4.562;9.792;116.074;132.847;248.921
8; 50 - 54;5.956;4.969;10.925;126.476;138.636;265.112
9; 45 - 49;6.830;5.462;12.292;130.316;139.236;269.552
10; 40 - 44;7.134;5.400;12.534;122.467;127.825;250.292
11; 35 - 39;8.083;6.196;14.279;122.464;125.667;248.131
12; 30 - 34;9.100;8.129;17.229;133.726;137.801;271.527
13; 25 - 29;7.265;8.021;15.286;124.072;132.589;256.661
14; 20 - 24;3.847;4.819;8.666;100.514;102.254;202.768
15; 15 - 19;1.937;1.935;3.872;84.747;81.427;166.174
16; 10 - 14;1.626;1.553;3.179;77.909;75.033;152.942
17; 5 - 9;1.550;1.393;2.943;71.169;68.166;139.335
18; 0 - 4;1.683;1.551;3.234;63.996;60.839;124.835
