El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Centro;Madrid;
2005;Anual;10,1;13,59;
2006;Anual;9,8;13,6;
2007;Anual;9,51;13,72;
2008;Anual;9,46;13,87;
2009;Anual;9,41;14,05;
2010;Anual;9,38;14,19;
2011;Anual;9,28;14,29;
2012;Anual;9,27;14,4;
2013;Anual;9,16;14,46;
2014;Anual;9,13;14,48;
2015;Anual;9,15;14,5;
2016;Anual;8,88;14,51;
2017;Anual;8,7;14,49;
2018;Anual;8,48;14,37;
2019;Anual;8,28;14,22;
2020;Anual;7,77;13,98;
2021;Anual;7,51;13,76;
2022;Anual;7,36;13,55;
2023;Anual;7,16;13,29;
2024;Anual;7;13,03;
2025;Anual;6,87;12,74;
