El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Centro;Madrid;
2005;Anual;17,43;18,62;
2006;Anual;17,07;18,74;
2007;Anual;17,21;18,76;
2008;Anual;16,63;18,58;
2009;Anual;16,24;18,58;
2010;Anual;16,02;18,77;
2011;Anual;15,98;19,04;
2012;Anual;16,11;19,36;
2013;Anual;16,13;19,67;
2014;Anual;16,52;20,18;
2015;Anual;16,68;20,49;
2016;Anual;16,38;20,46;
2017;Anual;16,33;20,46;
2018;Anual;16,25;20,39;
2019;Anual;16,05;20,26;
2020;Anual;15,67;20,06;
2021;Anual;15,55;20,03;
2022;Anual;15,69;20,28;
2023;Anual;15,87;20,2;
2024;Anual;15,68;19,97;
2025;Anual;15,91;20,01;
