El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Centro;Madrid;
2005;Anual;34,35;26,61;
2006;Anual;34,75;27,11;
2007;Anual;35,6;28,12;
2008;Anual;36,02;28,96;
2009;Anual;36,78;29,9;
2010;Anual;37,47;30,78;
2011;Anual;38;31,72;
2012;Anual;38,37;32,61;
2013;Anual;38,23;33,51;
2014;Anual;38,07;34,33;
2015;Anual;38;35,02;
2016;Anual;37,21;35,49;
2017;Anual;36,56;36,1;
2018;Anual;35,52;36,19;
2019;Anual;34,4;36;
2020;Anual;32,9;35,2;
2021;Anual;32,3;35,4;
2022;Anual;31,4;35;
2023;Anual;30,5;34,59;
2024;Anual;30;34,7;
2025;Anual;29,66;34,76;
