El municipio en cifras
Índice de feminidad
Año;Periodos;Centro;Madrid;
2005;Anual;106,8;112,8;
2006;Anual;104,7;112,5;
2007;Anual;105;112,6;
2008;Anual;104;112,4;
2009;Anual;102,4;112,3;
2010;Anual;101,7;112,7;
2011;Anual;101,8;113,3;
2012;Anual;102,5;114;
2013;Anual;102,3;114,5;
2014;Anual;102,9;114,8;
2015;Anual;102,9;115;
2016;Anual;101,9;114,9;
2017;Anual;100,4;114,8;
2018;Anual;99,6;114,7;
2019;Anual;98,9;114,7;
2020;Anual;97,5;114,5;
2021;Anual;96,5;114,4;
2022;Anual;96,8;114,1;
2023;Anual;97,4;114,1;
2024;Anual;97,2;113,5;
2025;Anual;97,1;113,1;
