El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Centro;Madrid;
2005;Anual;30,2;16,3;
2006;Anual;31,8;17,9;
2007;Anual;30,3;18,4;
2008;Anual;31,3;19,8;
2009;Anual;32,4;20,8;
2010;Anual;32,8;21,1;
2011;Anual;32,7;21,1;
2012;Anual;31,3;20,4;
2013;Anual;31,1;20,2;
2014;Anual;30,3;19,5;
2015;Anual;29,9;19,3;
2016;Anual;29,9;19,7;
2017;Anual;30,1;20,1;
2018;Anual;30,77;21,03;
2019;Anual;31,56;22,16;
2020;Anual;33,05;23,61;
2021;Anual;34,99;24,32;
2022;Anual;36,21;24,62;
2023;Anual;37,69;26,3;
2024;Anual;40,72;28,76;
2025;Anual;42,44;30,22;
