El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Centro;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;27,09;14,29;
2006;Anual;28,6;15,82;
2007;Anual;26,33;15,86;
2008;Anual;26,87;16,9;
2009;Anual;27,63;17,47;
2010;Anual;27,52;17,34;
2011;Anual;27,05;16,93;
2012;Anual;24,69;15,43;
2013;Anual;23,81;14,41;
2014;Anual;22,54;13,14;
2015;Anual;21,21;12,07;
2016;Anual;21,18;12,19;
2017;Anual;21,29;12,41;
2018;Anual;22,01;13,12;
2019;Anual;22,86;14,1;
2020;Anual;24,26;15,32;
2021;Anual;25,85;15,82;
2022;Anual;26,62;15,74;
2023;Anual;27,69;17,08;
2024;Anual;30,06;18,99;
2025;Anual;31,14;19,99;
