El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Centro;Madrid;
2015;Enero;10,9;11,24;
2015;Febrero;10,85;11,3;
2015;Marzo;10,65;11,24;
2015;Abril;10,35;10,97;
2015;Mayo;10,05;10,62;
2015;Junio;9,76;10,33;
2015;Julio;9,85;10,25;
2015;Agosto;10,05;10,39;
2015;Septiembre;9,79;10,35;
2015;Octubre;9,71;10,4;
2015;Noviembre;9,61;10,27;
2015;Diciembre;9,49;10,07;
2016;Enero;9,71;10,23;
2016;Febrero;9,71;10,27;
2016;Marzo;9,7;10,22;
2016;Abril;9,44;10,02;
2016;Mayo;9,22;9,72;
2016;Junio;9,1;9,56;
2016;Julio;9,3;9,46;
2016;Agosto;9,4;9,57;
2016;Septiembre;9,1;9,46;
2016;Octubre;9,03;9,46;
2016;Noviembre;8,97;9,34;
2016;Diciembre;8,78;9,09;
2017;Enero;9,01;9,29;
2017;Febrero;8,97;9,35;
2017;Marzo;8,77;9,2;
2017;Abril;8,5;8,95;
2017;Mayo;8,4;8,74;
2017;Junio;8,27;8,6;
2017;Julio;8,45;8,63;
2017;Agosto;8,57;8,74;
2017;Septiembre;8,37;8,7;
2017;Octubre;8,37;8,7;
2017;Noviembre;8,11;8,48;
2017;Diciembre;8;8,28;
2018;Enero;8,21;8,53;
2018;Febrero;8,25;8,57;
2018;Marzo;8,18;8,48;
2018;Abril;7,97;8,3;
2018;Mayo;7,74;8,05;
2018;Junio;7,66;7,85;
2018;Julio;7,84;7,85;
2018;Agosto;7,87;7,91;
2018;Septiembre;7,61;7,87;
2018;Octubre;7,45;7,81;
2018;Noviembre;7,36;7,67;
2018;Diciembre;7,15;7,48;
2019;Enero;7,39;7,73;
2019;Febrero;7,38;7,82;
2019;Marzo;7,39;7,8;
2019;Abril;7,19;7,66;
2019;Mayo;6,98;7,48;
2019;Junio;6,91;7,35;
2019;Julio;6,82;7,37;
2019;Agosto;7,12;7,49;
2019;Septiembre;6,95;7,43;
2019;Octubre;7,01;7,52;
2019;Noviembre;7,01;7,45;
2019;Diciembre;6,89;7,3;
2020;Enero;7,07;7,54;
2020;Febrero;7,05;7,57;
2020;Marzo;7,55;7,8;
2020;Abril;8,84;8,74;
2020;Mayo;9,46;9,14;
2020;Junio;9,54;9,16;
2020;Julio;9,76;9,37;
2020;Agosto;9,92;9,5;
2020;Septiembre;9,55;9,36;
2020;Octubre;9,59;9,51;
2020;Noviembre;9,45;9,51;
2020;Diciembre;9,37;9,54;
2021;Enero;9,52;9,71;
2021;Febrero;9,66;9,87;
2021;Marzo;9,58;9,83;
2021;Abril;9,38;9,72;
2021;Mayo;9,14;9,48;
2021;Junio;8,97;9,29;
2021;Julio;8,78;9,14;
2021;Agosto;8,79;9,17;
2021;Septiembre;8,51;8,95;
2021;Octubre;8,19;8,71;
2021;Noviembre;7,96;8,51;
2021;Diciembre;7,4;7,91;
2022;Enero;7,24;7,74;
2022;Febrero;6,75;7,33;
2022;Marzo;6,65;7,28;
2022;Abril;6,36;7,01;
2022;Mayo;6,04;6,68;
2022;Junio;5,77;6,5;
2022;Julio;6,05;6,56;
2022;Agosto;6,18;6,6;
2022;Septiembre;6,05;6,6;
2022;Octubre;5,98;6,57;
2022;Noviembre;5,76;6,42;
2022;Diciembre;5,8;6,33;
2023;Enero;5,96;6,56;
2023;Febrero;6,14;6,67;
2023;Marzo;6,12;6,72;
2023;Abril;6,04;6,59;
2023;Mayo;5,74;6,38;
2023;Junio;5,74;6,32;
2023;Julio;5,63;6,2;
2023;Agosto;5,79;6,23;
2023;Septiembre;5,7;6,26;
2023;Octubre;5,65;6,23;
2023;Noviembre;5,62;6,13;
2023;Diciembre;5,54;6,02;
2024;Enero;5,76;6,23;
2024;Febrero;5,71;6,22;
2024;Marzo;5,78;6,24;
2024;Abril;5,47;6,07;
2024;Mayo;5,46;5,94;
2024;Junio;5,47;5,84;
2024;Julio;5,54;5,83;
2024;Agosto;5,61;5,87;
2024;Septiembre;5,45;5,87;
2024;Octubre;5,44;5,85;
2024;Noviembre;5,33;5,76;
2024;Diciembre;5,16;5,68;
2025;Enero;5,14;5,75;
2025;Febrero;5,34;5,84;
2025;Marzo;5,49;5,89;
2025;Abril;5,45;5,82;
2025;Mayo;5,32;5,69;
2025;Junio;5,25;5,57;
2025;Julio;5,33;5,59;
2025;Agosto;5,43;5,7;
2025;Septiembre;5,25;5,66;
2025;Octubre;5,3;5,71;
2025;Noviembre;5,25;5,64;
2025;Diciembre;5,25;5,61;
2026;Enero;5,34;5,69;
2026;Febrero;5,33;5,76;
