El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Centro;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;137,71;71;
2011;Anual;139,69;69,87;
2012;Anual;132,75;70,49;
2013;Anual;126,55;73;
2014;Anual;128,5;73,66;
2015;Anual;131,49;76,17;
2016;Anual;127,4;79,58;
2017;Anual;125,87;81,08;
2018;Anual;129,47;83,22;
2019;Anual;130,43;85,23;
2020;Anual;126,76;85,5;
2021;Anual;112,83;83,51;
2022;Anual;122,03;88,8;
2023;Anual;128,48;91,68;
