El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Centro;Madrid;
2005;Anual;72,5;67,8;
2006;Anual;73,1;67,7;
2007;Anual;73,3;67,5;
2008;Anual;73,9;67,5;
2009;Anual;74,3;67,4;
2010;Anual;74,6;67;
2011;Anual;74,7;66,7;
2012;Anual;74,6;66,2;
2013;Anual;74,7;65,9;
2014;Anual;74,3;65,3;
2015;Anual;74,2;65;
2016;Anual;74,7;65;
2017;Anual;75;65,1;
2018;Anual;75,3;65,2;
2019;Anual;75,67;65,53;
2020;Anual;76,56;65,96;
2021;Anual;76,94;66,21;
2022;Anual;76,95;66,17;
2023;Anual;76,97;66,51;
2024;Anual;77,33;67,01;
2025;Anual;77,22;67,25;
