El municipio en cifras
Parados registrados
Año;Periodos;Centro;
2012;Diciembre;11707;
2013;Enero;12168;
2013;Febrero;12153;
2013;Marzo;12265;
2013;Abril;12113;
2013;Mayo;12001;
2013;Junio;11665;
2013;Julio;11818;
2013;Agosto;11855;
2013;Septiembre;11636;
2013;Octubre;11512;
2013;Noviembre;11478;
2013;Diciembre;11183;
2014;Enero;11416;
2014;Febrero;11421;
2014;Marzo;11319;
2014;Abril;11011;
2014;Mayo;10714;
2014;Junio;10443;
2014;Julio;10575;
2014;Agosto;10644;
2014;Septiembre;10579;
2014;Octubre;10663;
2014;Noviembre;10738;
2014;Diciembre;10416;
2015;Enero;10641;
2015;Febrero;10627;
2015;Marzo;10401;
2015;Abril;10156;
2015;Mayo;9826;
2015;Junio;9567;
2015;Julio;9687;
2015;Agosto;9832;
2015;Septiembre;9583;
2015;Octubre;9592;
2015;Noviembre;9560;
2015;Diciembre;9442;
2016;Enero;9664;
2016;Febrero;9683;
2016;Marzo;9613;
2016;Abril;9368;
2016;Mayo;9184;
2016;Junio;9008;
2016;Julio;9213;
2016;Agosto;9264;
2016;Septiembre;9002;
2016;Octubre;8894;
2016;Noviembre;8883;
2016;Diciembre;8725;
2017;Enero;8942;
2017;Febrero;8884;
2017;Marzo;8712;
2017;Abril;8395;
2017;Mayo;8292;
2017;Junio;8181;
2017;Julio;8373;
2017;Agosto;8457;
2017;Septiembre;8257;
2017;Octubre;8300;
2017;Noviembre;8095;
2017;Diciembre;7989;
2018;Enero;8210;
2018;Febrero;8241;
2018;Marzo;8176;
2018;Abril;7932;
2018;Mayo;7715;
2018;Junio;7612;
2018;Julio;7768;
2018;Agosto;7807;
2018;Septiembre;7563;
2018;Octubre;7431;
2018;Noviembre;7406;
2018;Diciembre;7280;
2019;Enero;7571;
2019;Febrero;7589;
2019;Marzo;7641;
2019;Abril;7452;
2019;Mayo;7269;
2019;Junio;7246;
2019;Julio;7199;
2019;Agosto;7543;
2019;Septiembre;7399;
2019;Octubre;7439;
2019;Noviembre;7521;
2019;Diciembre;7424;
2020;Enero;7631;
2020;Febrero;7595;
2020;Marzo;8158;
2020;Abril;9544;
2020;Mayo;10209;
2020;Junio;10302;
2020;Julio;10474;
2020;Agosto;10645;
2020;Septiembre;10308;
2020;Octubre;10342;
2020;Noviembre;10280;
2020;Diciembre;10227;
2021;Enero;10395;
2021;Febrero;10562;
2021;Marzo;10355;
2021;Abril;10203;
2021;Mayo;9930;
2021;Junio;9730;
2021;Julio;9547;
2021;Agosto;9573;
2021;Septiembre;9285;
2021;Octubre;8930;
2021;Noviembre;8710;
2021;Diciembre;8138;
2022;Enero;7813;
2022;Febrero;7299;
2022;Marzo;7178;
2022;Abril;6875;
2022;Mayo;6545;
2022;Junio;6270;
2022;Julio;6563;
2022;Agosto;6563;
2022;Septiembre;6520;
2022;Octubre;6484;
2022;Noviembre;6279;
2022;Diciembre;6243;
2023;Enero;6420;
2023;Febrero;6608;
2023;Marzo;6590;
2023;Abril;6506;
2023;Mayo;6298;
2023;Junio;6300;
2023;Julio;6224;
2023;Agosto;6415;
2023;Septiembre;6315;
2023;Octubre;6297;
2023;Noviembre;6263;
2023;Diciembre;6257;
2024;Enero;6508;
2024;Febrero;6482;
2024;Marzo;6543;
2024;Abril;6199;
2024;Mayo;6205;
2024;Junio;6183;
2024;Julio;6269;
2024;Agosto;6307;
2024;Septiembre;6140;
2024;Octubre;6172;
2024;Noviembre;5018;
2024;Diciembre;5886;
2025;Enero;5839;
2025;Febrero;6048;
2025;Marzo;6180;
2025;Abril;6112;
2025;Mayo;5874;
2025;Junio;5758;
2025;Julio;5841;
2025;Agosto;5899;
2025;Septiembre;5673;
2025;Octubre;5770;
2025;Noviembre;5710;
2025;Diciembre;5749;
2026;Enero;5826;
2026;Febrero;5822;
