El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Centro;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;12,12;8;
2011;Anual;12,19;8,38;
2012;Anual;10,45;8,52;
2013;Anual;11,15;9;
2014;Anual;13,2;8,85;
2015;Anual;14,19;9,26;
2016;Anual;13,77;9,39;
2017;Anual;15,08;9,54;
2018;Anual;10,76;9,62;
2019;Anual;15,89;8,96;
2020;Anual;15,59;8,95;
2021;Anual;14,88;8,87;
2022;Anual;14,96;9,02;
2023;Anual;15,03;9,8;
2024;Anual;;;
2025;Anual;;9;
