El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Arganzuela;Madrid;
2005;Anual;13,34;13,59;
2006;Anual;13,25;13,6;
2007;Anual;13,1;13,72;
2008;Anual;13,05;13,87;
2009;Anual;13,18;14,05;
2010;Anual;13,2;14,19;
2011;Anual;13,17;14,29;
2012;Anual;13,22;14,4;
2013;Anual;13,18;14,46;
2014;Anual;13,19;14,48;
2015;Anual;13,27;14,5;
2016;Anual;13,26;14,51;
2017;Anual;13,11;14,49;
2018;Anual;12,9;14,37;
2019;Anual;12,61;14,22;
2020;Anual;12,27;13,98;
2021;Anual;12,04;13,76;
2022;Anual;11,79;13,55;
2023;Anual;11,45;13,29;
2024;Anual;11,13;13,03;
2025;Anual;10,83;12,74;
