El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Arganzuela;Madrid;
2005;Anual;69,6;67,8;
2006;Anual;69,7;67,7;
2007;Anual;70,1;67,5;
2008;Anual;70,4;67,5;
2009;Anual;70,4;67,4;
2010;Anual;70,3;67;
2011;Anual;70,1;66,7;
2012;Anual;69,8;66,2;
2013;Anual;69,6;65,9;
2014;Anual;69;65,3;
2015;Anual;68,5;65;
2016;Anual;68,3;65;
2017;Anual;68,2;65,1;
2018;Anual;68,1;65,2;
2019;Anual;68,12;65,53;
2020;Anual;68,19;65,96;
2021;Anual;68,12;66,21;
2022;Anual;67,76;66,17;
2023;Anual;67,69;66,51;
2024;Anual;67,8;67,01;
2025;Anual;67,69;67,25;
