El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Arganzuela;Madrid;
2005;Anual;31,16;26,61;
2006;Anual;31,69;27,11;
2007;Anual;32,5;28,12;
2008;Anual;33,42;28,96;
2009;Anual;34,11;29,9;
2010;Anual;34,72;30,78;
2011;Anual;35,16;31,72;
2012;Anual;35,51;32,61;
2013;Anual;35,94;33,51;
2014;Anual;36,29;34,33;
2015;Anual;36,08;35,02;
2016;Anual;35,84;35,49;
2017;Anual;35,58;36,1;
2018;Anual;34,64;36,19;
2019;Anual;33,6;36;
2020;Anual;32,4;35,2;
2021;Anual;31,7;35,4;
2022;Anual;30,9;35;
2023;Anual;29,8;34,59;
2024;Anual;29,5;34,7;
2025;Anual;29,4;34,76;
