El municipio en cifras
Índice de feminidad
Año;Periodos;Arganzuela;Madrid;
2005;Anual;116,3;112,8;
2006;Anual;115,6;112,5;
2007;Anual;115;112,6;
2008;Anual;114,6;112,4;
2009;Anual;114;112,3;
2010;Anual;114,3;112,7;
2011;Anual;114,9;113,3;
2012;Anual;115,4;114;
2013;Anual;115,5;114,5;
2014;Anual;115,9;114,8;
2015;Anual;116;115;
2016;Anual;115,9;114,9;
2017;Anual;115,4;114,8;
2018;Anual;115,2;114,7;
2019;Anual;114,8;114,7;
2020;Anual;114,4;114,5;
2021;Anual;114,2;114,4;
2022;Anual;113,6;114,1;
2023;Anual;113,7;114,1;
2024;Anual;113,6;113,5;
2025;Anual;113,5;113,1;
