El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Arganzuela;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;15,76;14,29;
2006;Anual;16,63;15,82;
2007;Anual;15,49;15,86;
2008;Anual;16,01;16,9;
2009;Anual;16,17;17,47;
2010;Anual;15,56;17,34;
2011;Anual;14,93;16,93;
2012;Anual;13,37;15,43;
2013;Anual;12,48;14,41;
2014;Anual;10,94;13,14;
2015;Anual;9,69;12,07;
2016;Anual;9,58;12,19;
2017;Anual;9,37;12,41;
2018;Anual;9,52;13,12;
2019;Anual;9,94;14,1;
2020;Anual;10,51;15,32;
2021;Anual;10,79;15,82;
2022;Anual;10,66;15,74;
2023;Anual;11,17;17,08;
2024;Anual;12,47;18,99;
2025;Anual;13,31;19,99;
