El municipio en cifras
Parados registrados
Año;Periodos;Arganzuela;
2012;Diciembre;11049;
2013;Enero;11254;
2013;Febrero;11263;
2013;Marzo;11168;
2013;Abril;11134;
2013;Mayo;11041;
2013;Junio;10789;
2013;Julio;10984;
2013;Agosto;11080;
2013;Septiembre;10928;
2013;Octubre;10834;
2013;Noviembre;10676;
2013;Diciembre;10440;
2014;Enero;10719;
2014;Febrero;10694;
2014;Marzo;10508;
2014;Abril;10282;
2014;Mayo;10056;
2014;Junio;9742;
2014;Julio;10048;
2014;Agosto;10082;
2014;Septiembre;10011;
2014;Octubre;9951;
2014;Noviembre;9902;
2014;Diciembre;9658;
2015;Enero;9874;
2015;Febrero;9930;
2015;Marzo;9826;
2015;Abril;9575;
2015;Mayo;9231;
2015;Junio;8994;
2015;Julio;9115;
2015;Agosto;9236;
2015;Septiembre;9018;
2015;Octubre;9141;
2015;Noviembre;9020;
2015;Diciembre;8955;
2016;Enero;9079;
2016;Febrero;9030;
2016;Marzo;8925;
2016;Abril;8741;
2016;Mayo;8437;
2016;Junio;8290;
2016;Julio;8464;
2016;Agosto;8553;
2016;Septiembre;8320;
2016;Octubre;8117;
2016;Noviembre;8065;
2016;Diciembre;7881;
2017;Enero;8093;
2017;Febrero;8121;
2017;Marzo;8002;
2017;Abril;7716;
2017;Mayo;7533;
2017;Junio;7405;
2017;Julio;7607;
2017;Agosto;7693;
2017;Septiembre;7579;
2017;Octubre;7508;
2017;Noviembre;7380;
2017;Diciembre;7227;
2018;Enero;7446;
2018;Febrero;7416;
2018;Marzo;7237;
2018;Abril;7047;
2018;Mayo;6917;
2018;Junio;6701;
2018;Julio;6801;
2018;Agosto;6946;
2018;Septiembre;6902;
2018;Octubre;6786;
2018;Noviembre;6624;
2018;Diciembre;6513;
2019;Enero;6727;
2019;Febrero;6856;
2019;Marzo;6790;
2019;Abril;6612;
2019;Mayo;6487;
2019;Junio;6360;
2019;Julio;6499;
2019;Agosto;6701;
2019;Septiembre;6698;
2019;Octubre;6700;
2019;Noviembre;6646;
2019;Diciembre;6580;
2020;Enero;6825;
2020;Febrero;6802;
2020;Marzo;7028;
2020;Abril;8212;
2020;Mayo;8588;
2020;Junio;8484;
2020;Julio;8633;
2020;Agosto;8701;
2020;Septiembre;8430;
2020;Octubre;8478;
2020;Noviembre;8423;
2020;Diciembre;8367;
2021;Enero;8599;
2021;Febrero;8677;
2021;Marzo;8504;
2021;Abril;8382;
2021;Mayo;8048;
2021;Junio;7867;
2021;Julio;7815;
2021;Agosto;7860;
2021;Septiembre;7618;
2021;Octubre;7365;
2021;Noviembre;7176;
2021;Diciembre;6732;
2022;Enero;6551;
2022;Febrero;6188;
2022;Marzo;6066;
2022;Abril;5836;
2022;Mayo;5641;
2022;Junio;5587;
2022;Julio;5681;
2022;Agosto;5681;
2022;Septiembre;5750;
2022;Octubre;5661;
2022;Noviembre;5494;
2022;Diciembre;5430;
2023;Enero;5646;
2023;Febrero;5723;
2023;Marzo;5734;
2023;Abril;5583;
2023;Mayo;5469;
2023;Junio;5453;
2023;Julio;5513;
2023;Agosto;5601;
2023;Septiembre;5537;
2023;Octubre;5466;
2023;Noviembre;5393;
2023;Diciembre;5389;
2024;Enero;5591;
2024;Febrero;5508;
2024;Marzo;5536;
2024;Abril;5386;
2024;Mayo;5289;
2024;Junio;5231;
2024;Julio;5398;
2024;Agosto;5408;
2024;Septiembre;5399;
2024;Octubre;5290;
2024;Noviembre;5450;
2024;Diciembre;5294;
2025;Enero;5387;
2025;Febrero;5509;
2025;Marzo;5367;
2025;Abril;5297;
2025;Mayo;5157;
2025;Junio;5071;
2025;Julio;5178;
2025;Agosto;5283;
2025;Septiembre;5199;
2025;Octubre;5194;
2025;Noviembre;5139;
2025;Diciembre;5173;
2026;Enero;5219;
2026;Febrero;5179;
