El municipio en cifras
Población
Año;Periodos;Retiro;
1987;Anual;130613;
1988;Anual;131020;
1989;Anual;131793;
1990;Anual;132439;
1991;Anual;127832;
1992;Anual;127709;
1993;Anual;128817;
1994;Anual;129511;
1995;Anual;129303;
1996;Anual;120445;
1997;Anual;120781;
1998;Anual;121116;
1999;Anual;121652;
2000;Anual;121574;
2001;Anual;123736;
2002;Anual;124888;
2003;Anual;126477;
2004;Anual;126283;
2005;Anual;126058;
2006;Anual;125978;
2007;Anual;124530;
2008;Anual;124258;
2009;Anual;123969;
2010;Anual;123159;
2011;Anual;122068;
2012;Anual;121146;
2013;Anual;120252;
2014;Anual;118743;
2015;Anual;117934;
2016;Anual;118559;
2017;Anual;118516;
2018;Anual;119011;
2019;Anual;119379;
2020;Anual;120406;
2021;Anual;118557;
2022;Anual;117672;
2023;Anual;117918;
2024;Anual;119757;
2025;Anual;120447;
