El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Retiro;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.807;4.134;5.941;42.053;92.109;134.162
2; 80 - 84;2.050;3.144;5.194;42.412;68.809;111.221
3; 75 - 79;2.635;3.946;6.581;53.602;80.108;133.710
4; 70 - 74;2.921;4.150;7.071;60.418;83.243;143.661
5; 65 - 69;3.228;4.488;7.716;80.493;102.569;183.062
6; 60 - 64;3.579;4.525;8.104;102.853;122.998;225.851
7; 55 - 59;3.714;4.426;8.140;116.074;132.847;248.921
8; 50 - 54;4.044;4.419;8.463;126.476;138.636;265.112
9; 45 - 49;4.005;4.383;8.388;130.316;139.236;269.552
10; 40 - 44;3.874;4.010;7.884;122.467;127.825;250.292
11; 35 - 39;3.510;3.966;7.476;122.464;125.667;248.131
12; 30 - 34;3.885;4.214;8.099;133.726;137.801;271.527
13; 25 - 29;3.616;4.218;7.834;124.072;132.589;256.661
14; 20 - 24;2.828;2.984;5.812;100.514;102.254;202.768
15; 15 - 19;2.408;2.394;4.802;84.747;81.427;166.174
16; 10 - 14;2.393;2.345;4.738;77.909;75.033;152.942
17; 5 - 9;2.191;2.122;4.313;71.169;68.166;139.335
18; 0 - 4;1.997;1.894;3.891;63.996;60.839;124.835
