El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Retiro;Madrid;
2005;Anual;12,33;13,59;
2006;Anual;12,35;13,6;
2007;Anual;12,32;13,72;
2008;Anual;12,26;13,87;
2009;Anual;12,18;14,05;
2010;Anual;12,22;14,19;
2011;Anual;12,25;14,29;
2012;Anual;12,29;14,4;
2013;Anual;12,31;14,46;
2014;Anual;12,4;14,48;
2015;Anual;12,45;14,5;
2016;Anual;12,56;14,51;
2017;Anual;12,56;14,49;
2018;Anual;12,61;14,37;
2019;Anual;12,55;14,22;
2020;Anual;12,4;13,98;
2021;Anual;12,18;13,76;
2022;Anual;12,02;13,55;
2023;Anual;11,81;13,29;
2024;Anual;11,65;13,03;
2025;Anual;11,53;12,74;
