El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Retiro;Madrid;
2005;Anual;67,7;67,8;
2006;Anual;67,3;67,7;
2007;Anual;67;67,5;
2008;Anual;66,8;67,5;
2009;Anual;66,5;67,4;
2010;Anual;66;67;
2011;Anual;65,4;66,7;
2012;Anual;64,9;66,2;
2013;Anual;64,3;65,9;
2014;Anual;63,5;65,3;
2015;Anual;62,9;65;
2016;Anual;62,6;65;
2017;Anual;62,2;65,1;
2018;Anual;61,9;65,2;
2019;Anual;61,7;65,53;
2020;Anual;61,67;65,96;
2021;Anual;61,6;66,21;
2022;Anual;61,41;66,17;
2023;Anual;61,37;66,51;
2024;Anual;61,54;67,01;
2025;Anual;61,48;67,25;
