El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Retiro;Madrid;
2005;Anual;19,94;18,62;
2006;Anual;20,35;18,74;
2007;Anual;20,66;18,76;
2008;Anual;20,97;18,58;
2009;Anual;21,31;18,58;
2010;Anual;21,82;18,77;
2011;Anual;22,31;19,04;
2012;Anual;22,81;19,36;
2013;Anual;23,43;19,67;
2014;Anual;24,11;20,18;
2015;Anual;24,64;20,49;
2016;Anual;24,87;20,46;
2017;Anual;25,26;20,46;
2018;Anual;25,52;20,39;
2019;Anual;25,76;20,26;
2020;Anual;25,93;20,06;
2021;Anual;26,21;20,03;
2022;Anual;26,57;20,28;
2023;Anual;26,82;20,2;
2024;Anual;26,81;19,97;
2025;Anual;26,99;20,01;
