El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Retiro;Madrid;
2005;Anual;30,23;26,61;
2006;Anual;30,56;27,11;
2007;Anual;31,51;28,12;
2008;Anual;32,25;28,96;
2009;Anual;32,75;29,9;
2010;Anual;33,22;30,78;
2011;Anual;33,63;31,72;
2012;Anual;34,1;32,61;
2013;Anual;34,18;33,51;
2014;Anual;34,41;34,33;
2015;Anual;34,69;35,02;
2016;Anual;34,73;35,49;
2017;Anual;34,72;36,1;
2018;Anual;34,24;36,19;
2019;Anual;33,9;36;
2020;Anual;33,1;35,2;
2021;Anual;33,2;35,4;
2022;Anual;33;35;
2023;Anual;33;34,59;
2024;Anual;33,6;34,7;
2025;Anual;34,27;34,76;
