El municipio en cifras
Índice de feminidad
Año;Periodos;Retiro;Madrid;
2005;Anual;120;112,8;
2006;Anual;119,8;112,5;
2007;Anual;119,9;112,6;
2008;Anual;120;112,4;
2009;Anual;120,5;112,3;
2010;Anual;120,6;112,7;
2011;Anual;120,7;113,3;
2012;Anual;121,2;114;
2013;Anual;121,6;114,5;
2014;Anual;121,5;114,8;
2015;Anual;121,4;115;
2016;Anual;121,3;114,9;
2017;Anual;121;114,8;
2018;Anual;121;114,7;
2019;Anual;120,7;114,7;
2020;Anual;120,9;114,5;
2021;Anual;120,4;114,4;
2022;Anual;120,2;114,1;
2023;Anual;120,6;114,1;
2024;Anual;120,4;113,5;
2025;Anual;120,3;113,1;
