El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Retiro;Madrid;
2005;Anual;11,4;16,3;
2006;Anual;12,2;17,9;
2007;Anual;11,9;18,4;
2008;Anual;12,6;19,8;
2009;Anual;13,2;20,8;
2010;Anual;13,2;21,1;
2011;Anual;13,2;21,1;
2012;Anual;12,6;20,4;
2013;Anual;12,4;20,2;
2014;Anual;11,9;19,5;
2015;Anual;11,8;19,3;
2016;Anual;11,9;19,7;
2017;Anual;12;20,1;
2018;Anual;12,34;21,03;
2019;Anual;13,05;22,16;
2020;Anual;14,01;23,61;
2021;Anual;14,41;24,32;
2022;Anual;14,84;24,62;
2023;Anual;15,88;26,3;
2024;Anual;17,57;28,76;
2025;Anual;18,69;30,22;
