El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Retiro;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;8,92;14,29;
2006;Anual;9,67;15,82;
2007;Anual;9,25;15,86;
2008;Anual;9,64;16,9;
2009;Anual;9,98;17,47;
2010;Anual;9,75;17,34;
2011;Anual;9,43;16,93;
2012;Anual;8,55;15,43;
2013;Anual;8,06;14,41;
2014;Anual;7,28;13,14;
2015;Anual;6,65;12,07;
2016;Anual;6,75;12,19;
2017;Anual;6,78;12,41;
2018;Anual;7,07;13,12;
2019;Anual;7,76;14,1;
2020;Anual;8,47;15,32;
2021;Anual;8,67;15,82;
2022;Anual;8,82;15,74;
2023;Anual;9,6;17,08;
2024;Anual;10,81;18,99;
2025;Anual;11,65;19,99;
