El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Retiro;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;86,48;71;
2011;Anual;93,42;69,87;
2012;Anual;98,77;70,49;
2013;Anual;104,22;73;
2014;Anual;104,87;73,66;
2015;Anual;112,74;76,17;
2016;Anual;114,87;79,58;
2017;Anual;117,22;81,08;
2018;Anual;119,89;83,22;
2019;Anual;124,03;85,23;
2020;Anual;127,77;85,5;
2021;Anual;126,84;83,51;
2022;Anual;132,08;88,8;
2023;Anual;126,83;91,68;
