El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Retiro;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;6,16;8;
2011;Anual;6,55;8,38;
2012;Anual;5,81;8,52;
2013;Anual;6,25;9;
2014;Anual;7,07;8,85;
2015;Anual;7,69;9,26;
2016;Anual;7,7;9,39;
2017;Anual;8,33;9,54;
2018;Anual;6,5;9,62;
2019;Anual;9,26;8,96;
2020;Anual;9,55;8,95;
2021;Anual;9,37;8,87;
2022;Anual;9,36;9,02;
2023;Anual;9,51;9,8;
2024;Anual;;;
2025;Anual;;9;
