El municipio en cifras
Parados registrados
Año;Periodos;Retiro;
2012;Diciembre;6455;
2013;Enero;6672;
2013;Febrero;6751;
2013;Marzo;6782;
2013;Abril;6619;
2013;Mayo;6532;
2013;Junio;6332;
2013;Julio;6464;
2013;Agosto;6501;
2013;Septiembre;6495;
2013;Octubre;6509;
2013;Noviembre;6507;
2013;Diciembre;6306;
2014;Enero;6428;
2014;Febrero;6379;
2014;Marzo;6294;
2014;Abril;6154;
2014;Mayo;5996;
2014;Junio;5801;
2014;Julio;5945;
2014;Agosto;6098;
2014;Septiembre;6009;
2014;Octubre;5973;
2014;Noviembre;5862;
2014;Diciembre;5733;
2015;Enero;5761;
2015;Febrero;5726;
2015;Marzo;5644;
2015;Abril;5584;
2015;Mayo;5373;
2015;Junio;5203;
2015;Julio;5273;
2015;Agosto;5397;
2015;Septiembre;5283;
2015;Octubre;5326;
2015;Noviembre;5255;
2015;Diciembre;5161;
2016;Enero;5233;
2016;Febrero;5190;
2016;Marzo;5133;
2016;Abril;4973;
2016;Mayo;4868;
2016;Junio;4788;
2016;Julio;4877;
2016;Agosto;4986;
2016;Septiembre;4867;
2016;Octubre;4806;
2016;Noviembre;4762;
2016;Diciembre;4703;
2017;Enero;4773;
2017;Febrero;4824;
2017;Marzo;4724;
2017;Abril;4624;
2017;Mayo;4487;
2017;Junio;4371;
2017;Julio;4462;
2017;Agosto;4504;
2017;Septiembre;4549;
2017;Octubre;4455;
2017;Noviembre;4406;
2017;Diciembre;4275;
2018;Enero;4452;
2018;Febrero;4487;
2018;Marzo;4444;
2018;Abril;4324;
2018;Mayo;4251;
2018;Junio;4145;
2018;Julio;4177;
2018;Agosto;4200;
2018;Septiembre;4207;
2018;Octubre;4170;
2018;Noviembre;4076;
2018;Diciembre;4023;
2019;Enero;4074;
2019;Febrero;4079;
2019;Marzo;4067;
2019;Abril;4063;
2019;Mayo;4025;
2019;Junio;3917;
2019;Julio;4011;
2019;Agosto;4124;
2019;Septiembre;4082;
2019;Octubre;4076;
2019;Noviembre;4039;
2019;Diciembre;4006;
2020;Enero;4118;
2020;Febrero;4097;
2020;Marzo;4199;
2020;Abril;4670;
2020;Mayo;4904;
2020;Junio;4920;
2020;Julio;4982;
2020;Agosto;5059;
2020;Septiembre;4976;
2020;Octubre;4958;
2020;Noviembre;4890;
2020;Diciembre;4875;
2021;Enero;5011;
2021;Febrero;5025;
2021;Marzo;4972;
2021;Abril;4985;
2021;Mayo;4856;
2021;Junio;4799;
2021;Julio;4852;
2021;Agosto;4873;
2021;Septiembre;4745;
2021;Octubre;4541;
2021;Noviembre;4438;
2021;Diciembre;4122;
2022;Enero;4063;
2022;Febrero;3800;
2022;Marzo;3761;
2022;Abril;3681;
2022;Mayo;3422;
2022;Junio;3383;
2022;Julio;3453;
2022;Agosto;3453;
2022;Septiembre;3493;
2022;Octubre;3474;
2022;Noviembre;3365;
2022;Diciembre;3293;
2023;Enero;3384;
2023;Febrero;3421;
2023;Marzo;3400;
2023;Abril;3263;
2023;Mayo;3235;
2023;Junio;3212;
2023;Julio;3308;
2023;Agosto;3370;
2023;Septiembre;3271;
2023;Octubre;3218;
2023;Noviembre;3223;
2023;Diciembre;3194;
2024;Enero;3267;
2024;Febrero;3210;
2024;Marzo;3198;
2024;Abril;3125;
2024;Mayo;3052;
2024;Junio;3011;
2024;Julio;3049;
2024;Agosto;3118;
2024;Septiembre;3094;
2024;Octubre;3071;
2024;Noviembre;3028;
2024;Diciembre;2946;
2025;Enero;2906;
2025;Febrero;3019;
2025;Marzo;3190;
2025;Abril;3131;
2025;Mayo;3036;
2025;Junio;2934;
2025;Julio;3041;
2025;Agosto;3132;
2025;Septiembre;3141;
2025;Octubre;3151;
2025;Noviembre;3042;
2025;Diciembre;3043;
2026;Enero;3108;
2026;Febrero;3088;
