El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Salamanca;Madrid;
2005;Anual;66,1;67,8;
2006;Anual;66,1;67,7;
2007;Anual;65,8;67,5;
2008;Anual;66;67,5;
2009;Anual;66;67,4;
2010;Anual;65,9;67;
2011;Anual;65,7;66,7;
2012;Anual;65,5;66,2;
2013;Anual;65,3;65,9;
2014;Anual;64,7;65,3;
2015;Anual;64,4;65;
2016;Anual;64,5;65;
2017;Anual;64,5;65,1;
2018;Anual;64,7;65,2;
2019;Anual;64,76;65,53;
2020;Anual;65,06;65,96;
2021;Anual;65,14;66,21;
2022;Anual;65,11;66,17;
2023;Anual;65,25;66,51;
2024;Anual;65,83;67,01;
2025;Anual;66,02;67,25;
