El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Salamanca;Madrid;
2005;Anual;33,73;26,61;
2006;Anual;34,17;27,11;
2007;Anual;35,21;28,12;
2008;Anual;35,44;28,96;
2009;Anual;35,94;29,9;
2010;Anual;36,58;30,78;
2011;Anual;37,24;31,72;
2012;Anual;37,73;32,61;
2013;Anual;38,27;33,51;
2014;Anual;38,48;34,33;
2015;Anual;38,57;35,02;
2016;Anual;38,43;35,49;
2017;Anual;38,54;36,1;
2018;Anual;37,96;36,19;
2019;Anual;37,3;36;
2020;Anual;36,1;35,2;
2021;Anual;36;35,4;
2022;Anual;35,8;35;
2023;Anual;35,5;34,59;
2024;Anual;35,6;34,7;
2025;Anual;35,78;34,76;
