El municipio en cifras
Índice de feminidad
Año;Periodos;Salamanca;Madrid;
2005;Anual;127,6;112,8;
2006;Anual;127,9;112,5;
2007;Anual;128,2;112,6;
2008;Anual;128,5;112,4;
2009;Anual;128,5;112,3;
2010;Anual;128,5;112,7;
2011;Anual;128,5;113,3;
2012;Anual;128,6;114;
2013;Anual;128,4;114,5;
2014;Anual;128,1;114,8;
2015;Anual;128,1;115;
2016;Anual;127,6;114,9;
2017;Anual;127,3;114,8;
2018;Anual;127,2;114,7;
2019;Anual;127;114,7;
2020;Anual;126,7;114,5;
2021;Anual;126,2;114,4;
2022;Anual;126,1;114,1;
2023;Anual;126,1;114,1;
2024;Anual;125,7;113,5;
2025;Anual;125,5;113,1;
