El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Salamanca;Madrid;
2005;Anual;16,2;16,3;
2006;Anual;17,4;17,9;
2007;Anual;16,9;18,4;
2008;Anual;17,8;19,8;
2009;Anual;18,5;20,8;
2010;Anual;18,7;21,1;
2011;Anual;18,9;21,1;
2012;Anual;18,5;20,4;
2013;Anual;18,6;20,2;
2014;Anual;18,2;19,5;
2015;Anual;18;19,3;
2016;Anual;18,5;19,7;
2017;Anual;19;20,1;
2018;Anual;19,79;21,03;
2019;Anual;20,66;22,16;
2020;Anual;22,03;23,61;
2021;Anual;22,87;24,32;
2022;Anual;23,81;24,62;
2023;Anual;25,31;26,3;
2024;Anual;28,1;28,76;
2025;Anual;29,63;30,22;
