El municipio en cifras
Población
Año;Periodos;Salamanca;
1987;Anual;170028;
1988;Anual;169275;
1989;Anual;169356;
1990;Anual;169585;
1991;Anual;156082;
1992;Anual;156657;
1993;Anual;158312;
1994;Anual;158676;
1995;Anual;157657;
1996;Anual;142001;
1997;Anual;142691;
1998;Anual;143380;
1999;Anual;143547;
2000;Anual;143090;
2001;Anual;146168;
2002;Anual;147350;
2003;Anual;149264;
2004;Anual;151366;
2005;Anual;150775;
2006;Anual;151254;
2007;Anual;146763;
2008;Anual;147707;
2009;Anual;147961;
2010;Anual;147735;
2011;Anual;147380;
2012;Anual;146055;
2013;Anual;145623;
2014;Anual;143598;
2015;Anual;142388;
2016;Anual;143244;
2017;Anual;143800;
2018;Anual;145268;
2019;Anual;146148;
2020;Anual;147854;
2021;Anual;146016;
2022;Anual;145457;
2023;Anual;145702;
2024;Anual;149778;
2025;Anual;150796;
