El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Salamanca;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;12,99;14,29;
2006;Anual;14,06;15,82;
2007;Anual;13,17;15,86;
2008;Anual;13,67;16,9;
2009;Anual;14,07;17,47;
2010;Anual;14,06;17,34;
2011;Anual;13,87;16,93;
2012;Anual;12,83;15,43;
2013;Anual;12,57;14,41;
2014;Anual;11,84;13,14;
2015;Anual;11,2;12,07;
2016;Anual;11,57;12,19;
2017;Anual;11,88;12,41;
2018;Anual;12,52;13,12;
2019;Anual;13,26;14,1;
2020;Anual;14,46;15,32;
2021;Anual;15,03;15,82;
2022;Anual;15,59;15,74;
2023;Anual;16,71;17,08;
2024;Anual;18,75;18,99;
2025;Anual;19,7;19,99;
