El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Salamanca;Madrid;
2015;Enero;7,23;11,24;
2015;Febrero;7,26;11,3;
2015;Marzo;7,25;11,24;
2015;Abril;7,07;10,97;
2015;Mayo;6,83;10,62;
2015;Junio;6,62;10,33;
2015;Julio;6,73;10,25;
2015;Agosto;6,8;10,39;
2015;Septiembre;6,7;10,35;
2015;Octubre;6,69;10,4;
2015;Noviembre;6,6;10,27;
2015;Diciembre;6,41;10,07;
2016;Enero;6,55;10,23;
2016;Febrero;6,61;10,27;
2016;Marzo;6,6;10,22;
2016;Abril;6,42;10,02;
2016;Mayo;6,19;9,72;
2016;Junio;6,18;9,56;
2016;Julio;6,17;9,46;
2016;Agosto;6,3;9,57;
2016;Septiembre;6,25;9,46;
2016;Octubre;6,1;9,46;
2016;Noviembre;6,02;9,34;
2016;Diciembre;5,88;9,09;
2017;Enero;6,06;9,29;
2017;Febrero;6,05;9,35;
2017;Marzo;5,92;9,2;
2017;Abril;5,78;8,95;
2017;Mayo;5,64;8,74;
2017;Junio;5,55;8,6;
2017;Julio;5,58;8,63;
2017;Agosto;5,76;8,74;
2017;Septiembre;5,84;8,7;
2017;Octubre;5,84;8,7;
2017;Noviembre;5,65;8,48;
2017;Diciembre;5,47;8,28;
2018;Enero;5,58;8,53;
2018;Febrero;5,64;8,57;
2018;Marzo;5,5;8,48;
2018;Abril;5,34;8,3;
2018;Mayo;5,21;8,05;
2018;Junio;5,08;7,85;
2018;Julio;5,13;7,85;
2018;Agosto;5,24;7,91;
2018;Septiembre;5,19;7,87;
2018;Octubre;5,05;7,81;
2018;Noviembre;4,98;7,67;
2018;Diciembre;4,85;7,48;
2019;Enero;4,98;7,73;
2019;Febrero;4,99;7,82;
2019;Marzo;4,93;7,8;
2019;Abril;4,87;7,66;
2019;Mayo;4,74;7,48;
2019;Junio;4,66;7,35;
2019;Julio;4,79;7,37;
2019;Agosto;4,96;7,49;
2019;Septiembre;4,87;7,43;
2019;Octubre;4,95;7,52;
2019;Noviembre;4,92;7,45;
2019;Diciembre;4,81;7,3;
2020;Enero;4,88;7,54;
2020;Febrero;4,89;7,57;
2020;Marzo;5,07;7,8;
2020;Abril;5,62;8,74;
2020;Mayo;5,97;9,14;
2020;Junio;6,1;9,16;
2020;Julio;6,31;9,37;
2020;Agosto;6,38;9,5;
2020;Septiembre;6,31;9,36;
2020;Octubre;6,29;9,51;
2020;Noviembre;6,27;9,51;
2020;Diciembre;6,31;9,54;
2021;Enero;6,34;9,71;
2021;Febrero;6,44;9,87;
2021;Marzo;6,43;9,83;
2021;Abril;6,33;9,72;
2021;Mayo;6,2;9,48;
2021;Junio;6,13;9,29;
2021;Julio;6,1;9,14;
2021;Agosto;6,13;9,17;
2021;Septiembre;5,94;8,95;
2021;Octubre;5,68;8,71;
2021;Noviembre;5,58;8,51;
2021;Diciembre;5,12;7,91;
2022;Enero;4,9;7,74;
2022;Febrero;4,61;7,33;
2022;Marzo;4,45;7,28;
2022;Abril;4,26;7,01;
2022;Mayo;4,02;6,68;
2022;Junio;3,92;6,5;
2022;Julio;4,01;6,56;
2022;Agosto;4,04;6,6;
2022;Septiembre;4;6,6;
2022;Octubre;3,94;6,57;
2022;Noviembre;3,95;6,42;
2022;Diciembre;3,9;6,33;
2023;Enero;4,06;6,56;
2023;Febrero;4,03;6,67;
2023;Marzo;4,08;6,72;
2023;Abril;4;6,59;
2023;Mayo;3,9;6,38;
2023;Junio;3,91;6,32;
2023;Julio;3,95;6,2;
2023;Agosto;3,94;6,23;
2023;Septiembre;3,95;6,26;
2023;Octubre;3,9;6,23;
2023;Noviembre;3,89;6,13;
2023;Diciembre;3,79;6,02;
2024;Enero;3,97;6,23;
2024;Febrero;3,94;6,22;
2024;Marzo;3,93;6,24;
2024;Abril;3,79;6,07;
2024;Mayo;3,74;5,94;
2024;Junio;3,74;5,84;
2024;Julio;3,76;5,83;
2024;Agosto;3,75;5,87;
2024;Septiembre;3,76;5,87;
2024;Octubre;3,73;5,85;
2024;Noviembre;3,67;5,76;
2024;Diciembre;3,56;5,68;
2025;Enero;3,69;5,75;
2025;Febrero;3,78;5,84;
2025;Marzo;3,76;5,89;
2025;Abril;3,72;5,82;
2025;Mayo;3,71;5,69;
2025;Junio;3,65;5,57;
2025;Julio;3,73;5,59;
2025;Agosto;3,8;5,7;
2025;Septiembre;3,76;5,66;
2025;Octubre;3,74;5,71;
2025;Noviembre;3,72;5,64;
2025;Diciembre;3,71;5,61;
2026;Enero;3,79;5,69;
2026;Febrero;3,78;5,76;
