El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo y sexo
Año;Periodos;Hombres;Mujeres;
2010;Anual;76.928;87.212;
2011;Anual;78.900;89.233;
2012;Anual;76.215;87.667;
2013;Anual;74.204;93.623;
2014;Anual;72.421;90.048;
2015;Anual;74.432;92.199;
2016;Anual;76.164;92.999;
2017;Anual;77.972;95.885;
2018;Anual;78.650;95.885;
2019;Anual;83.083;101.975;
2020;Anual;82.569;104.566;
2021;Anual;78.935;97.551;
2022;Anual;87.761;108.700;
2023;Anual;90.232;112.024;
