El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Salamanca;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;2.024;5.148;7.172;42.053;92.109;134.162
2; 80 - 84;2.105;3.603;5.708;42.412;68.809;111.221
3; 75 - 79;2.680;4.147;6.827;53.602;80.108;133.710
4; 70 - 74;3.090;4.392;7.482;60.418;83.243;143.661
5; 65 - 69;3.710;5.070;8.780;80.493;102.569;183.062
6; 60 - 64;4.382;5.390;9.772;102.853;122.998;225.851
7; 55 - 59;4.361;5.561;9.922;116.074;132.847;248.921
8; 50 - 54;4.399;5.242;9.641;126.476;138.636;265.112
9; 45 - 49;4.563;5.202;9.765;130.316;139.236;269.552
10; 40 - 44;4.278;4.758;9.036;122.467;127.825;250.292
11; 35 - 39;4.739;5.258;9.997;122.464;125.667;248.131
12; 30 - 34;6.048;7.119;13.167;133.726;137.801;271.527
13; 25 - 29;6.039;7.711;13.750;124.072;132.589;256.661
14; 20 - 24;4.322;5.325;9.647;100.514;102.254;202.768
15; 15 - 19;2.909;2.938;5.847;84.747;81.427;166.174
16; 10 - 14;2.408;2.426;4.834;77.909;75.033;152.942
17; 5 - 9;2.333;2.314;4.647;71.169;68.166;139.335
18; 0 - 4;2.481;2.319;4.800;63.996;60.839;124.835
