El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Salamanca;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;11,14;8;
2011;Anual;11,39;8,38;
2012;Anual;10,07;8,52;
2013;Anual;10,44;9;
2014;Anual;12,02;8,85;
2015;Anual;12,57;9,26;
2016;Anual;12,28;9,39;
2017;Anual;13,3;9,54;
2018;Anual;9,9;9,62;
2019;Anual;14,38;8,96;
2020;Anual;14,76;8,95;
2021;Anual;14,44;8,87;
2022;Anual;14,56;9,02;
2023;Anual;14,78;9,8;
2024;Anual;;;
2025;Anual;;9;
