El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Salamanca;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;157,09;71;
2011;Anual;161,8;69,87;
2012;Anual;160,82;70,49;
2013;Anual;165,58;73;
2014;Anual;162,4;73,66;
2015;Anual;168,83;76,17;
2016;Anual;170,61;79,58;
2017;Anual;173,93;81,08;
2018;Anual;178,96;83,22;
2019;Anual;180,79;85,23;
2020;Anual;179,43;85,5;
2021;Anual;170,65;83,51;
2022;Anual;192,37;88,8;
2023;Anual;197,37;91,68;
