El municipio en cifras
Parados registrados
Año;Periodos;Salamanca;
2012;Diciembre;7689;
2013;Enero;7853;
2013;Febrero;7945;
2013;Marzo;7966;
2013;Abril;7916;
2013;Mayo;7787;
2013;Junio;7553;
2013;Julio;7703;
2013;Agosto;7667;
2013;Septiembre;7583;
2013;Octubre;7576;
2013;Noviembre;7512;
2013;Diciembre;7327;
2014;Enero;7403;
2014;Febrero;7409;
2014;Marzo;7293;
2014;Abril;7088;
2014;Mayo;6889;
2014;Junio;6695;
2014;Julio;6788;
2014;Agosto;6867;
2014;Septiembre;6774;
2014;Octubre;6842;
2014;Noviembre;6804;
2014;Diciembre;6587;
2015;Enero;6653;
2015;Febrero;6691;
2015;Marzo;6671;
2015;Abril;6504;
2015;Mayo;6277;
2015;Junio;6098;
2015;Julio;6205;
2015;Agosto;6218;
2015;Septiembre;6130;
2015;Octubre;6167;
2015;Noviembre;6111;
2015;Diciembre;5938;
2016;Enero;6070;
2016;Febrero;6142;
2016;Marzo;6116;
2016;Abril;5956;
2016;Mayo;5760;
2016;Junio;5717;
2016;Julio;5713;
2016;Agosto;5810;
2016;Septiembre;5772;
2016;Octubre;5630;
2016;Noviembre;5586;
2016;Diciembre;5481;
2017;Enero;5640;
2017;Febrero;5621;
2017;Marzo;5515;
2017;Abril;5365;
2017;Mayo;5235;
2017;Junio;5158;
2017;Julio;5198;
2017;Agosto;5342;
2017;Septiembre;5422;
2017;Octubre;5371;
2017;Noviembre;5312;
2017;Diciembre;5137;
2018;Enero;5260;
2018;Febrero;5310;
2018;Marzo;5184;
2018;Abril;5016;
2018;Mayo;4904;
2018;Junio;4767;
2018;Julio;4812;
2018;Agosto;4916;
2018;Septiembre;4870;
2018;Octubre;4757;
2018;Noviembre;4714;
2018;Diciembre;4614;
2019;Enero;4730;
2019;Febrero;4733;
2019;Marzo;4681;
2019;Abril;4623;
2019;Mayo;4505;
2019;Junio;4428;
2019;Julio;4560;
2019;Agosto;4732;
2019;Septiembre;4658;
2019;Octubre;4720;
2019;Noviembre;4736;
2019;Diciembre;4641;
2020;Enero;4717;
2020;Febrero;4717;
2020;Marzo;4901;
2020;Abril;5424;
2020;Mayo;5755;
2020;Junio;5872;
2020;Julio;6040;
2020;Agosto;6108;
2020;Septiembre;6032;
2020;Octubre;5992;
2020;Noviembre;5991;
2020;Diciembre;6034;
2021;Enero;6065;
2021;Febrero;6150;
2021;Marzo;6064;
2021;Abril;5983;
2021;Mayo;5858;
2021;Junio;5783;
2021;Julio;5774;
2021;Agosto;5809;
2021;Septiembre;5632;
2021;Octubre;5406;
2021;Noviembre;5342;
2021;Diciembre;4919;
2022;Enero;4655;
2022;Febrero;4388;
2022;Marzo;4232;
2022;Abril;4048;
2022;Mayo;3830;
2022;Junio;3740;
2022;Julio;3810;
2022;Agosto;3810;
2022;Septiembre;3788;
2022;Octubre;3762;
2022;Noviembre;3792;
2022;Diciembre;3717;
2023;Enero;3872;
2023;Febrero;3838;
2023;Marzo;3886;
2023;Abril;3812;
2023;Mayo;3759;
2023;Junio;3765;
2023;Julio;3831;
2023;Agosto;3829;
2023;Septiembre;3839;
2023;Octubre;3819;
2023;Noviembre;3810;
2023;Diciembre;3756;
2024;Enero;3934;
2024;Febrero;3912;
2024;Marzo;3897;
2024;Abril;3760;
2024;Mayo;3712;
2024;Junio;3701;
2024;Julio;3718;
2024;Agosto;3686;
2024;Septiembre;3708;
2024;Octubre;3711;
2024;Noviembre;3760;
2024;Diciembre;3570;
2025;Enero;3691;
2025;Febrero;3773;
2025;Marzo;3738;
2025;Abril;3679;
2025;Mayo;3623;
2025;Junio;3551;
2025;Julio;3623;
2025;Agosto;3665;
2025;Septiembre;3607;
2025;Octubre;3604;
2025;Noviembre;3590;
2025;Diciembre;3600;
2026;Enero;3666;
2026;Febrero;3648;
