El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Chamartín;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;2.073;4.885;6.958;42.053;92.109;134.162
2; 80 - 84;2.141;3.597;5.738;42.412;68.809;111.221
3; 75 - 79;2.771;4.236;7.007;53.602;80.108;133.710
4; 70 - 74;3.005;4.336;7.341;60.418;83.243;143.661
5; 65 - 69;3.651;4.897;8.548;80.493;102.569;183.062
6; 60 - 64;4.213;5.416;9.629;102.853;122.998;225.851
7; 55 - 59;4.373;5.264;9.637;116.074;132.847;248.921
8; 50 - 54;4.687;5.439;10.126;126.476;138.636;265.112
9; 45 - 49;4.741;5.346;10.087;130.316;139.236;269.552
10; 40 - 44;4.568;5.150;9.718;122.467;127.825;250.292
11; 35 - 39;4.961;5.333;10.294;122.464;125.667;248.131
12; 30 - 34;5.675;6.200;11.875;133.726;137.801;271.527
13; 25 - 29;4.911;5.525;10.436;124.072;132.589;256.661
14; 20 - 24;3.596;3.759;7.355;100.514;102.254;202.768
15; 15 - 19;3.203;3.231;6.434;84.747;81.427;166.174
16; 10 - 14;3.037;3.071;6.108;77.909;75.033;152.942
17; 5 - 9;3.029;2.991;6.020;71.169;68.166;139.335
18; 0 - 4;3.185;3.156;6.341;63.996;60.839;124.835
